행정동명,승하차인원_버스,승하차인원_지하철,승하차인원_버스_지하철
상도2동,337212,13242.0,350454.0
상도3동,229561,0.0,229561.0
상도4동,198854,0.0,198854.0
상봉1동,218831,24070.0,242901.0
상봉2동,390795,0.0,390795.0
상암동,837102,0.0,837102.0
상일1동,252223,22568.0,274791.0
상일2동,126754,8581.0,135335.0
서강동,183887,30083.0,213970.0
서교동,1525650,171232.0,1696882.0
서림동,337808,13716.0,351524.0
서빙고동,206875,0.0,206875.0
서원동,856655,5333.0,861988.0
서초1동,274120,106833.0,380953.0
서초2동,616891,0.0,616891.0
서초3동,650510,30759.0,681269.0
서초4동,367843,0.0,367843.0
석관동,258340,0.0,258340.0
석촌동,378765,25805.0,404570.0
성내1동,143324,16050.0,159374.0
성내2동,190523,85327.0,275850.0
성내3동,139204,14014.0,153218.0
성북동,357194,0.0,357194.0
성산1동,220648,0.0,220648.0
성산2동,341300,29208.0,370508.0
성수1가1동,135806,0.0,135806.0
성수1가2동,124935,36086.0,161021.0
성수2가1동,140286,0.0,140286.0
성수2가3동,173320,60261.0,233581.0
성현동,294043,0.0,294043.0
세곡동,461927,0.0,461927.0
소공동,701701,55445.0,757146.0
송정동,66640,0.0,66640.0
송중동,915103,40162.0,955265.0
송천동,448989,0.0,448989.0
송파1동,271599,0.0,271599.0
송파2동,173269,0.0,173269.0
수궁동,410620,10770.0,421390.0
수색동,202454,0.0,202454.0
수서동,367938,30698.0,398636.0
수유1동,299854,5758.0,305612.0
수유2동,252623,6975.0,259598.0
수유3동,662545,50926.0,713471.0
숭인1동,60296,10740.0,71036.0
숭인2동,235412,0.0,235412.0
시흥1동,654533,0.0,654533.0
시흥2동,205974,0.0,205974.0
시흥3동,102889,0.0,102889.0
시흥4동,139331,0.0,139331.0
시흥5동,242460,0.0,242460.0
신길1동,259895,0.0,259895.0
신길3동,178197,0.0,178197.0
신길4동,99544,0.0,99544.0
신길5동,153411,0.0,153411.0
신길6동,230022,14881.0,244903.0
신길7동,267453,3194.0,270647.0
신내1동,427060,0.0,427060.0
신내2동,223235,13178.0,236413.0
신당5동,144514,0.0,144514.0
신당동,112450,24580.0,137030.0
신대방1동,108938,36450.0,145388.0
신대방2동,254631,13614.0,268245.0
