과정명,도로명주소,행정동,위도,경도
(단체) 2021년 종로구 상자텃밭분양,서울특별시 종로구 삼봉로 43,종로1.2.3.4가동,37.5726,126.97911
(개인)2021년 종로구 상자텃밭 추가보급,서울특별시 종로구 삼봉로 43,종로1.2.3.4가동,37.5726,126.97911
2021년 은평구 텃밭분양,서울특별시 은평구 연서로43길 16-15,불광2동,37.62802,126.92659
(개인) 2021년 종로구 상자텃밭분양,서울특별시 종로구 삼봉로 43,종로1.2.3.4가동,37.5726,126.97911
동행서울 친환경농장 가꾸기(지월리농장),경기도 광주시 초월읍 지월리 680,초월읍,37.4045,127.28914
동행서울 친환경농장 가꾸기(양수가정농장),경기도 양평군 양서면 부용리 647-1,양서면,37.55042,127.33992
동행서울 친환경농장 가꾸기(성사동농장),경기도 고양시 덕양구 성사동 617-3,성사1동,37.66494,126.84591
동행서울 친환경농장 가꾸기(수역이농장),경기도 고양시 덕양구 성사동 604-3,성사1동,37.66422,126.84855
동행서울 친환경농장 가꾸기(하번천리농장),경기도 광주시 남한산성면 하번천리 120,남한산성면,37.43928,127.288
동행서울 친환경농장 가꾸기(송촌약수터농장),경기도 남양주시 조안면 송촌리 964,조안면,37.57924,127.31349
동행서울 친환경농장 가꾸기(부용리농장),경기도 양평군 양서면 부용리 582-1,양서면,37.55292,127.33753
동행서울 친환경농장 가꾸기(교동농장),경기도 양평군 양서면 부용리 21,양서면,37.55656,127.35717
동행서울 친환경농장 가꾸기(삼봉리농장),경기도 남양주시 조안면 삼봉리 375-7,조안면,37.58864,127.33446
동행서울 친환경농장 가꾸기(안현동농장),경기도 시흥시 안현동 35,은행동,37.4322,126.81997
동행서울 친환경농장 가꾸기(원흥역농장),경기도 고양시 덕양구 원흥동 119-1,삼송2동,37.65505,126.87409
동행서울 친환경농장 가꾸기(도마리농장),경기도 광주시 퇴촌면 도마리 203,퇴촌면,37.46701,127.27652
동행서울 친환경농장 가꾸기(귀여리농장),경기도 광주시 남종면 귀여리 393-2,남종면,37.50378,127.32636
동행서울 친환경농장 가꾸기(삼성리농장),경기도 광주시 남종면 삼성리 422,남종면,37.47361,127.27522
동행서울 친환경농장 가꾸기(수능리농장),경기도 양평군 서종면 수능리 395-1,서종면,37.59974,127.3706
2021년 강동구 친환경 도시텃밭 분양,서울특별시 강동구 성내로 19,성내1동,37.5302,127.12266
(개인) 2021년 강서구 상자텃밭 신청,서울특별시 강서구 화곡로 302,화곡6동,37.55074,126.84995
(단체)2021년 강서구 상자텃밭 신청,서울특별시 강서구 화곡로 302,화곡6동,37.55074,126.84995
2020년 친환경 퇴비 지원사업(단체),서울특별시 관악구 낙성대동 259-1,낙성대동,37.4712,126.95775
2020년 친환경 퇴비 지원사업(개인),서울특별시 관악구 낙성대동 259-1,낙성대동,37.4712,126.95775
단체] 2020년 상자텃밭 2차분양,서울특별시 종로구 삼봉로 43,종로1.2.3.4가동,37.57257,126.97917
개인] 2020년 상자텃밭 2차분양,서울특별시 종로구 삼봉로 43,종로1.2.3.4가동,37.57257,126.97917
2020년 상자텃밭 분양 신청자 모집,서울특별시 영등포구 선유동1로 80 ,당산1동,37.52886,126.89427
동행서울 친환경농장 가꾸기(수역이),경기도 고양시 덕양구 성사동 604-3,성사1동,37.66422,126.84855
2020『상자텃밭세트』 보급 참여 신청 안내,서울특별시 도봉구 마들로 656,방학1동,37.66851,127.04679
동행서울 친환경농장 가꾸기(양수가정),경기도 양평군 양서면 부용리 661,양서면,37.55292,127.33753
2020년 상자텃밭 분양신청,서울특별시 은평구 은평로 195,녹번동,37.60274,126.92977
동행서울 친환경농장 가꾸기(삼성리),경기도 광주시 남종면 삼성리 422,남종면,37.47361,127.27522
동행서울 친환경농장 가꾸기(지월리),경기도 광주시 초월읍 지월리 680,초월읍,37.4045,127.28914
동행서울 친환경농장 가꾸기(도마리),경기도 광주시 퇴촌면 도마리 203,퇴촌면,37.46701,127.27652
동행서울 친환경농장가꾸기(송촌약수터),경기도 남양주시 조안면 송촌리 964,조안면,37.57924,127.31349
동행서울 친환경농장 가꾸기(교동),경기도 양평군 양서면 부용리 21,양서면,37.55656,127.35717
동행서울 친환경농장 가꾸기(삼봉리),경기도 남양주시 조안면 삼봉리 331-3,조안면,37.58939,127.3335
함꼐서울 친환경농장 가꾸기(성사동),경기도 고양시 덕양구 성사동 617-3,성사1동,37.66494,126.84591
동행서울 친환경농장 가꾸기(수능리),경기도 양평군 서종면 수능리 395,서종면,37.59971,127.37103
동행서울 친환경 농장가꾸기(귀여리),경기도 광주시 남종면 귀여리 393-2,남종면,37.50378,127.32636
동행서울 친환경농장 가꾸기(부용리),경기도 양평군 양서면 부용리 582-1,양서면,37.55292,127.33753
동행서울 친환경농장 가꾸기(원흥역),경기도 고양시 덕양구 원흥동 119-1,삼송2동,37.65505,126.87409
동행서울 친환경농장 가꾸기(목감천),경기도 광명시 노온사동 956-31,학온동,37.45166,126.83881
동행서울 친환경농장 가꾸기(하번천리),경기도 광주시 남한산성면 하번천리 120,남한산성면,37.43928,127.288
2020년 은평구 텃밭 분양,서울특별시 은평구 불광동 457,불광2동,37.62884,126.92549
2020년 자투리텃밭 분양,서울특별시 광진구 광장동 582-3,광장동,37.54415,127.09979
2020년 강동구 도시텃밭 분양 ,서울특별시 강동구 암사동 603-3,암사2동,37.55518,127.12592
강동구 강일 정원형 텃밭 분양,서울특별시 강동구 강일동 33-3,강일동,37.57849,127.17558
2020년 강남친환경도시텃밭 분양,서울특별시 강남구 학동로 426,삼성2동,37.51767,127.04767
용산가족공원 텃밭 분양(단체),서울특별시 용산구 서빙고로 185,서빙고동,37.52012,126.98459
용산가족공원 텃밭 분양(개인),서울특별시 용산구 서빙고로 185,서빙고동,37.52012,126.98459
