유치원명,주소,행정동,위도,경도
고덕한울유치원,서울특별시 강동구 양재대로 1706,고덕1동,37.5497977,127.1434191
서울고현초등학교병설유치원,서울특별시 강동구 상일로11길 110,상일1동,37.5535622,127.1687411
서울강솔유치원,서울특별시 강동구 고덕로97길 80,강일동,37.562989,127.1792819
선아유치원,서울특별시 강동구 구천면로 650,상일1동,37.5499987,127.1459074
서울강빛초등학교병설유치원,서울특별시 강동구 아리수로93다길 1,강일동,37.5742075,127.1734422
서울고일초등학교병설유치원,서울특별시 강동구 구천면로93길 20,상일1동,37.5516069,127.1682485
서울강솔초등학교병설유치원,서울특별시 강동구 고덕로97길 80,강일동,37.562989,127.1792819
금성유치원,서울특별시 강북구 한천로123길 9,번1동,37.6355038,127.028975
동명유치원,서울특별시 강북구 오패산로 130,송중동,37.6364286,127.0266341
길물빛유치원,서울특별시 강북구 인수봉로 260,인수동,37.6335413,127.0140166
성실유치원,서울특별시 강북구 삼각산로 143-1,수유2동,37.6377964,127.006224
서울수유초등학교병설유치원,서울특별시 강북구 삼양로74길 39,수유1동,37.6300784,127.0192044
아름유치원,서울특별시 강북구 도봉로 88,송중동,37.6170176,127.0303189
솔샘유치원,서울특별시 강북구 솔샘로 159,삼양동,37.6214025,127.0152535
창문유치원,서울특별시 강북구 월계로 61,송중동,37.6165492,127.0409901
운산유치원,서울특별시 강북구 수유로4길 58,수유1동,37.6322996,127.0220696
유안유치원,서울특별시 강북구 인수봉로 297,우이동,37.6335413,127.0140166
예원유치원,서울특별시 강북구 삼양로49길 18,삼양동,37.6234354,127.0182432
성체유치원,서울특별시 강북구 삼각산로 161,수유2동,37.6377964,127.006224
하나유치원,서울특별시 강북구 솔샘로 174,삼각산동,37.61840975,127.0119858264798
화계유치원,서울특별시 강북구 덕릉로 45,인수동,37.6358207,127.0276777
경은유치원,서울특별시 강북구 노해로21길 12,수유2동,37.6463735,127.018725
서울화계초등학교병설유치원,서울특별시 강북구 솔매로50가길 25,송중동,37.6234445,127.0294881
꿈동산유치원,서울특별시 강북구 한천로115길 15,번2동,37.63177,127.03759
인수유치원,서울특별시 강북구 인수봉로 298,우이동,37.6335413,127.0140166
서울미양초등학교병설유치원,서울특별시 강북구 솔샘로 195,삼양동,37.6214025,127.0152535
새시대유치원,서울특별시 강북구 도봉로97길 45,수유3동,37.6432998,127.026046
서울번동초등학교병설유치원,서울특별시 강북구 오현로 204,번3동,37.6295518,127.0394819
서울수송초등학교병설유치원,서울특별시 강북구 한천로124길 14,번1동,37.637639,127.032948
서울송천초등학교병설유치원,서울특별시 강북구 삼양로20길 29,송천동,37.6145036,127.0237471
서울우이유치원,서울특별시 강북구 삼양로99길 36,인수동,37.6389763,127.0163811
서울공항초등학교병설유치원,서울특별시 강서구 마곡서1로 68,방화1동,37.56297475,126.8215978237609
한나유치원,서울특별시 강서구 금낭화로 287-19,방화3동,37.5713177,126.8115512
화곡유치원,서울특별시 강서구 까치산로 60,화곡본동,37.5547483,126.8536521
선미유치원,서울특별시 강서구 까치산로2길 43,화곡본동,37.5390695,126.8431472
서울공진초등학교병설유치원,서울특별시 강서구 마곡서로 33,공항동,37.55785415,126.8226924943669
보라유치원,서울특별시 강서구 공항대로39길 100,등촌3동,37.5613245,126.8445763
서강유치원,서울특별시 강서구 금낭화로 35,방화2동,37.57979,126.81088
