NODE_ID,정류소명,X좌표,Y좌표
100000144,동묘역.롯데캐슬천지인,127.0158024,37.57418005
100000147,신설동로터리,127.022841,37.575695
100000364,동묘앞,127.017524,37.573643
100000150,구기동현대빌라,126.956622,37.609682
100000151,광장시장,126.9977438,37.5694708
100000153,혜화경찰서,126.9974788,37.57258074
100000154,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034
100000155,청계3가.관수교,126.9937794,37.56868879
100000156,청계6가.버들다리,127.0080377,37.56993039
100000157,청계7가.맑은내다리,127.013093,37.57004
100000158,청계8가.영도교,127.018128,37.570895
100000159,원남동사거리,126.998113,37.575761
100000165,숭인동,127.0204373,37.57427215
100000169,조계사,126.9831609,37.57280034
100000174,세종문화회관,126.977009,37.573222
100000179,이화동(이화장),127.002955,37.576257
100000180,상명대정문,126.9550207,37.60161972
100000181,이북오도청,126.955973,37.612723
100000419,경복궁역(효자로입구),126.974305,37.576715
100000188,상명대입구.세검정교회,126.9597922,37.59944351
100000189,상명대입구.석파랑,126.9581941,37.59957181
100000190,종로중부새마을금고,127.0065911,37.57241749
100000191,신설동로터리.신한은행앞.서울풍물시장,127.023192,37.574258
100000192,청계2가.삼일교,126.986988,37.568344
100000193,청계8가.황학교,127.022787,37.57213073
100000355,평창동삼성아파트,126.978799,37.611179
100000370,안국역.인사동,126.9855365,37.57633293
100000369,안국역.서울공예박물관,126.984888,37.576413
100000371,창덕궁,126.9890031,37.57722809
100000413,남인사마당,126.9874286,37.57131917
100900047,평창파출소,126.9668167,37.60568122
100900178,삼청공원,126.9816469,37.58822768
100900041,수성동계곡,126.964469,37.582082
100900040,명륜3가종점,126.9928637,37.59094838
100900197,명륜새마을금고,126.996798,37.587785
100900044,서대문3번출구,126.966397,37.566336
100900039,낙산공원,127.0087216,37.58040372
100900037,인사미술공간.세탁소,126.9893671,37.58141098
100900036,화정박물관,126.9648837,37.6048012
100900035,금융연수원,126.981657,37.586641
100900034,박노수미술관,126.9666035,37.58099674
100900032,샘미용실,126.9932227,37.59030953
100900031,서울국제고등학교,126.9972903,37.58907159
100900029,화정박물관,126.9652008,37.60498061
100900188,적십자병원후문앞,126.9652273,37.56752954
100900202,서울성곽.성대후문,126.9896321,37.5892577
100900026,빨래터.고희동미술관,126.989067,37.58299
100900025,세검초등학교,126.9614908,37.60425228
100900024,삼청동주민센터,126.9819072,37.58426383
100900020,통인시장,126.968753,37.580468
100900021,양현관,126.9936044,37.58979142
100900017,국민생활관,126.998862,37.58974563
100900016,오거리,126.9622629,37.60706212
100900015,경희궁자이2.3단지,126.9640686,37.56878711
100900013,창신쌍용2단지.한성대후문,127.0127581,37.5812648
100900045,통일부,126.9859477,37.58759481
100900011,원서고개,126.9878088,37.58308055
100900009,종로5가입구.혜화경찰서,126.997681,37.571797
100900007,삼청파출소,126.981251,37.58181366
100900005,오거리.한옥마을입구,126.969561,37.579537
100900046,명륜시장.성대후문,126.9952543,37.58851105
100900003,혜화초등학교,126.9998517,37.58725323
100900072,청련사입구,126.9624312,37.60798038
100900071,영천시장,126.962735,37.570084
100900070,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621
100900069,감사원,126.9852901,37.58621065
100900068,중앙중고,126.9869653,37.58309218
100900067,인왕빌딩,126.9577443,37.60792833
100900066,종로4가.종묘공원,126.994624,37.570689
100900174,국립민속박물관,126.9795534,37.57925518
100900065,광화문새마을금고,126.9711466,37.57936877
100900064,새마을금고,126.9965181,37.58773706
100900063,혜화우체국,127.0006137,37.58603766
100900062,언덕앞,126.9637922,37.60895398
100900061,경희궁자이4단지,126.961358,37.57136
100900060,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439
100900059,사우디대사관앞.경남빌라,126.9850312,37.58410567
100900058,안국선원.삼거리,126.9849941,37.58279098
100900182,구기터널입구,126.9567769,37.60820461
100900057,종로3가.1.3.5호선,126.991965,37.57158
100900056,경복궁,126.9793378,37.57695016
100900054,소나무집,126.9641105,37.61127707
100900186,독립문역3번출구,126.9597453,37.57287848
100900053,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895
100900052,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973
100900217,종로1.2.3.4가동주민센터,126.9911314,37.57438371
100900051,창덕궁,126.990385,37.57676
100900050,아름다운실버,126.9654637,37.61201006
100900049,독립문초등학교,126.9607207,37.57384748
100900206,종로센트레빌아파트,127.0156927,37.58035344
100900048,가회동주민센터,126.984957,37.579973
100900097,구기빌라,126.9579797,37.60626861
100900096,원남로터리,126.9975115,37.57623737
100900095,보현산신각,126.9657791,37.61348252
100900094,천사유치원,126.9618604,37.57464802
100900093,쌍용아파트입구.창신역,127.0149636,37.58051123
100900092,아름다운가게.정독도서관,126.985123,37.57895
100900091,산정빌라,126.9574922,37.60515199
100900090,이화사거리,127.002101,37.576513
100900089,박종화고택입구,126.9676873,37.61431026
100900088,무악현대아파트후문,126.962001,37.57630608
100900086,헌법재판소.안국역,126.985816,37.577387
100900184,청구빌라,126.956984,37.60461026
100900085,서울대어린이병원응급실.갑상선센터,126.99984,37.578686
100900083,화인빌라,126.9685386,37.61293453
100900082,넓은마당,126.962888,37.57527281
100900207,창신초등학교,127.0153886,37.5769032
100900081,수운회관,126.986671,37.575219
100900080,상명대후문,126.9573354,37.60402558
100900079,힐탑,126.9690206,37.61160556
100900187,신학대학교총회본부,126.9634446,37.57397631
100900078,낙원상가,126.987417,37.57376
100900077,완성빌라,126.9575011,37.60340209
100900076,서울대병원장례식장,126.997431,37.5805554
100900075,혜화역1번출구,127.001843,37.583485
100900074,감나무골공원,126.9699479,37.61240596
100900073,한국사회과학자료원,126.9641433,37.57363321
100900205,동묘역,127.0142454,37.57269435
100900121,금강제화,126.98756,37.57057
100900120,경진빌라,126.9578304,37.60200372
100900198,성균관대학교앞,126.9993359,37.58325978
100000416,청와대,126.973762,37.582971
100000417,춘추문,126.979657,37.583126
100000418,경복궁.국립민속박물관,126.97959,37.579407
100000420,효자로입구(가상),126.9744334,37.57626474
100900119,EN갤러리,126.970607,37.613411
100900218,성균관대정문,126.99662,37.584957
100900219,600주년기념관,126.993942,37.587329
100900220,성균관대운동장,126.99237,37.587863
100900221,학생회관,126.993738,37.587445
100900118,종로문화센터,126.9646262,37.57464708
100900117,동대문역.2번출구,127.0117218,37.57204945
100900116,종각역YMCA,126.985096,37.570379
100900115,서교빌라,126.9571554,37.60198906
100900177,경복궁역,126.9724733,37.57707221
100900199,성대입구,126.998853,37.5832668
100900114,무애사,126.9718458,37.61390043
100900113,단군성전앞,126.9653175,37.57556009
100900192,동대문종합시장,127.00496,37.571212
100900112,상명초등학교,126.9567154,37.60092381
100900179,법련사,126.9796651,37.57658798
100900111,광화문새마을금고,126.9710277,37.57949309
100900110,성균관대학교,126.996857,37.586047
100900109,참샘골공원,126.974255,37.614612
100900108,활터앞,126.9653294,37.57681261
100900107,종로5가.3번출구,127.0020898,37.57141925
100900106,인사동들머리.3.1독립선언터,126.983297,37.57194702
100900105,정독도서관,126.980074,37.580262
100900104,오거리.한옥마을입구,126.9697393,37.57946844
100900103,평창공원지킴터입구,126.9757439,37.6163964
100000360,창경궁.고궁호텔.메이플레이스호텔,126.9974492,37.57655816
100000329,광화문,126.975569,37.570337
100000330,종로1가,126.980129,37.57037
100000333,종로2가,126.986463,37.570083
100000334,종로3가,126.99321,37.570635
100000335,종로3가,126.9909932,37.57010243
100000336,종로4가,126.996252,37.57047
100000338,동대문종합시장종로6가,127.003292,37.570862
100900102,종로도서관,126.9671252,37.57648423
100000343,경복궁역,126.9715056,37.57617809
100000344,경복궁역,126.97168,37.575816
100000345,안국역,126.9852296,37.57661375
100000346,안국역,126.985506,37.57631851
100000347,창덕궁,126.988901,37.577519
100000348,성대입구,126.999229,37.583283
100900101,종로사우나,126.9877504,37.57380111
100900180,엄마분식,126.9557163,37.60124243
100900100,삼청파출소,126.9813258,37.58164517
100900099,통인시장.종로구보건소,126.9687505,37.58033503
100900191,종로5가역,127.0000249,37.57067136
100900098,평창동산림제3초소,126.977104,37.617356
100900145,배화여중고,126.9678157,37.57675563
100900143,대학로입구.이화사거리,127.0025802,37.57598417
100900144,운현궁,126.9869814,37.57527161
100900142,상명대입구,126.9569583,37.60002101
100900141,삼청동주민센터,126.9822105,37.58468468
100900140,박노수미술관,126.9668945,37.58102656
100900139,김창열.윤명로화실,126.9783685,37.616305
100900138,사직공원.경복궁역입구,126.9689039,37.57622069
100900137,충신시장,127.0054049,37.57497665
100900189,안국역2번출구앞,126.9861183,37.57717282
100900135,금융연수원,126.9818479,37.58587767
100900134,감람산기도원,126.979873,37.61594393
100900133,카센터.터널앞,126.9658593,37.57416446
100900131,재동초등학교,126.9853617,37.57879109
100900129,삼청공원삼거리.옥호정터,126.9817445,37.58741852
100900128,이화사거리,127.0022813,37.57532007
100900127,연화정사,126.9794938,37.614649
100900126,대신중고,126.9616893,37.57261781
100900125,현대사거리,126.987,37.579306
100900215,교남동주민센터,126.96128,37.5721523
100900181,부암동주민센터.무계원,126.9637682,37.59293534
100900124,형제봉입구,126.9816862,37.61286432
100900123,교남동새마을금고,126.9623375,37.57149436
100900122,창신초교,127.0157201,37.57603721
100900168,가회동주민센터,126.9851294,37.57994265
100900167,볼링장,126.98817,37.579317
100900166,부암슈퍼,126.9638602,37.59476007
100900165,지구촌교회,126.979238,37.613106
100900164,월암공원,126.964693,37.571226
100900163,숭인1동주민센터,127.0155607,37.577415
100900162,북촌한옥마을입구.정세권활동터,126.9851687,37.58128077
100900161,하림각,126.9629664,37.59768473
100900160,보현빌라,126.978421,37.615382
100900159,스위스대사관,126.965696,37.570137
100900157,안국선원.삼거리,126.9852205,37.58274325
100900156,세검정교회,126.960029,37.599386
100900200,혜화동로터리,127.0010032,37.58591961
100900155,김종영미술관,126.9781123,37.61326379
100900154,서울시교육청,126.966702,37.569383
100900210,창신쌍용1단지.종로센트레빌아파트,127.0155693,37.58032282
100900153,사우디대사관,126.9852486,37.58386331
100900152,상명대입구,126.9574023,37.59985447
100900151,혜화초등학교,126.9999909,37.58738929
100900149,강북삼성병원,126.9683377,37.56853152
100900148,청룡사.보문파크뷰자이아파트,127.0171509,37.57978465
100900147,감사원,126.9855618,37.58626565
100900201,국민생활관,126.9993138,37.5896276
100900173,종로센트레빌후문.e편한세상보문아파트,127.015935,37.581911
100900172,통일부,126.9861073,37.58753085
100900171,서울국제고등학교,126.9971408,37.58907429
100900203,성대후문.와룡공원,126.989734,37.58915228
100900170,상명초등학교,126.9568174,37.60090493
100900169,새마을금고,126.996569,37.58784069
100900002,경진빌라,126.9579482,37.60186409
100900004,명륜시장.성대후문,126.9952305,37.58872461
100900006,완성빌라,126.9576665,37.60333997
100900008,양현관,126.9937686,37.589768
100900010,상명대후문,126.9574634,37.60407158
100900012,샘미용실,126.9934084,37.59025457
100900014,산정빌라,126.9575782,37.60528358
100900018,구기빌라,126.9579809,37.60613345
100900019,마트앞,126.9587565,37.60669871
100900022,국민은행.세검정지점,126.960876,37.604952
100900027,혜화역4번출구,127.001555,37.583509
100900028,방송통신대앞,127.0019927,37.57869736
100900030,서울대치과대학,126.997802,37.577411
100900033,효제초교.연동교회.김마리아활동터,127.0022088,37.57364134
100900204,성균관대학교,126.9900036,37.58846387
100900214,독립문역,126.9594078,37.57328385
100900038,서울대치과대학,126.99787,37.577572
100900043,이화사거리,127.0020085,37.57694834
100900042,서울대학교병원현관.암병원현관,126.9981568,37.57895147
100900211,종각.공평유적전시관,126.9832427,37.57159379
100900213,조계사,126.9831364,37.57360211
100000399,동대문역JW메리어트동대문호텔,127.009186,37.570859
100000407,대학로,127.0021204,37.58189612
100000408,창경궁,126.9964163,37.57915963
100000409,창덕궁,126.9901776,37.57753017
100000410,인사동.북촌,126.9837978,37.57589502
100000411,경복궁.국립민속박물관,126.9794465,37.5794474
100000412,세종문화회관,126.977004,37.573219
100000401,통인시장,126.9713316,37.57911876
100000402,세종문화회관,126.977017,37.573219
101000313,종각역,126.9828944,37.56937996
100000403,인사동.탑골공원,126.9888006,37.57011554
100000404,종묘.세운상가,126.9935557,37.57035485
100000405,광장시장,126.9996734,37.57062373
100000406,동묘.숭인동도깨비시장,127.0180439,37.5734766
105000553,서울풍물시장,127.0231781,37.57334003
100000400,청와대,126.97376,37.58268481
101000001,남대문세무서.서울백병원,126.9875299,37.56498481
101000002,서울백병원.국가인권위.안중근활동터,126.9878515,37.56435047
101000003,서울역버스환승센터,126.9722571,37.55514602
101000004,서울역버스환승센터,126.9725951,37.55538899
101000005,서울역버스환승센터,126.9727617,37.5553877
101000006,서울역버스환승센터,126.9728548,37.55547941
101000007,서울역버스환승센터.강우규의거터,126.972926,37.555411
101000008,숭례문,126.9737784,37.55863886
101000329,숭례문(가상),126.9743556,37.55979677
101000303,서울시청,126.9806321,37.56613826
101000009,만리동고개,126.9626582,37.55178706
101000010,손기정체육공원입구,126.9662339,37.55444595
101000011,서울의료보건고등학교.서울역서부,126.968902,37.555848
101000012,서울역서부,126.969153,37.556235
101000013,서울역서부,126.969212,37.557133
101000014,중림동교차로,126.9691354,37.55838363
101000015,종근당.충정로역,126.964543,37.559648
101000016,한국경제신문사.서소문역사공원,126.967868,37.56021115
101000017,한국경제신문사.서소문역사공원,126.9681135,37.56062347
101000018,경찰청.동북아역사재단,126.9691267,37.56304949
101000300,장충동써미트호텔,127.00667,37.562273
101000020,서대문경찰서.농협은행.유관순활동터,126.9677868,37.56490628
101000021,염천교,126.973113,37.559869
101000022,숭례문,126.973359,37.558401
101000023,숭례문.한국일보,126.9737376,37.55877131
101000025,후암삼거리,126.975993,37.553408
101000026,숭례문,126.9743627,37.55876338
101000027,숭례문,126.9740437,37.55841953
101000028,숭례문,126.9736279,37.55800065
101000029,남대문시장악세사리전문상가,126.976,37.558873
101000030,숭례문남산방향,126.9756721,37.55855816
101000031,남대문시장,126.9800598,37.56119108
101000032,북창동.남대문시장,126.978282,37.56123
101000033,시청앞,126.976443,37.562197
101000034,삼성본관앞,126.9759075,37.56205175
101000035,시청앞,126.9761487,37.56276421
101000036,서소문,126.974652,37.563191
101000038,시청.서소문청사,126.9749539,37.56352484
101000039,서울신문사,126.9773647,37.56836329
101000040,우리은행종로지점,126.9829289,37.567519
101000041,롯데백화점,126.982205,37.56451
101000042,해운센터.롯데영프라자,126.9815478,37.56289078
101000043,롯데영프라자,126.982008,37.562885
101000045,신세계백화점,126.981432,37.561128
101000046,남대문시장.회현역,126.9777651,37.55826752
101000047,남대문시장.회현역,126.9784645,37.55849203
101000048,남산3호터널,126.98274,37.558312
101000049,남산3호터널.서울애니메이션센터,126.9826359,37.55952609
101000050,명동역4번출구,126.984917,37.560657
101000051,퇴계로2가.명동역5번출구,126.984362,37.56093
101000052,퇴계로3가.한옥마을.한국의집,126.9917772,37.56125082
101000053,퇴계로3가.한옥마을.한국의집,126.99241,37.560902
101000054,충무로역2번출구.대한극장앞,126.994728,37.561238
101000055,충무로역8번출구.대한극장앞,126.9964922,37.56203716
101000056,초동,126.993112,37.56334618
101000057,을지로입구.로얄호텔,126.9853903,37.56587574
101000058,을지로입구.시청입구,126.9811712,37.56613826
101000059,을지로2가.기업은행본점.서울노동청,126.9865234,37.56624623
101000060,을지로2가.파인에비뉴,126.98867,37.566072
101000061,을지로3가,126.990263,37.566375
101000062,을지로3가,126.9913276,37.56612052
101000063,을지로4가,126.995933,37.566687
101000064,을지로4가.베스트웨스턴국도,126.9968473,37.56640104
101000065,중구청앞.덕수중학교,126.9981401,37.5647746
101000066,방산시장.을지로4가역6번출구,126.9992585,37.56681829
101000067,을지로5가.중부시장,127.001115,37.56662004
101000068,방산시장.훈련원종합체육관,127.0024045,37.56796085
101000069,을지로5가.훈련원종합체육관,127.0025946,37.56582435
101000070,을지로6가.국립중앙의료원,127.006233,37.566173
101000071,광희동,127.0072097,37.56505283
101000072,광희동,127.00772,37.565171
101000073,을지로6가.국립중앙의료원,127.0058435,37.56646311
101000074,동대문역사문화공원,127.0083555,37.56735414
101000075,동대문역사문화공원,127.00917,37.567483
101000077,충무아트센터.스포츠센터.중부소방서,127.013527,37.565168
101000078,충무아트센터.스포츠센터.중부소방서,127.0147409,37.56501789
101000079,성동공업고등학교(무궁화회관),127.0157558,37.56834819
101000080,성동공업고등학교앞,127.0161295,37.56869506
101000081,신당역.중앙시장앞,127.0187427,37.56572828
101000082,신당역.중앙시장앞,127.0194795,37.56549207
101000083,성동고등학교,127.022183,37.565595
101000084,성동고등학교,127.022398,37.56524
101000085,신당동떡볶이타운.중구여성플라자,127.015095,37.562798
101000086,신당동떡볶이타운.중구여성플라자,127.0151909,37.56231004
101000087,신당동.청구역,127.0132161,37.5589483
101000088,신당동.청구역,127.0130317,37.5592574
101000089,약수역2번출구.가온도서관,127.011043,37.555794
101000090,약수역3번출구.약수하이츠,127.0113797,37.55574961
101000091,약수역4번출구.금호터널입구,127.012012,37.553399
