행정동명,2023년09월_전체세대,2023년09월_1인세대,2023년09월_2인세대,2023년09월_3인세대,2023년09월_4인세대,2023년09월_5인세대,2023년9월_6인가구이상,채소가게수,제로웨이스트 가게수,유치원수,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율,도시농업(프로그램수),도시농업(시설수),초등학교수,사업체수 (개),종사자수 (명),채식식당수,인구수,1_0대,1_10대,1_20대,1_30대,1_40대,1_50대,1_60대,1_70대,1_80대,1_90대,1_기타,2_0대,2_10대,2_20대,2_30대,2_40대,2_50대,2_60대,2_70대,2_80대,2_90대,2_기타,카페수,승하차인원_버스_지하철,1점포당_1년_매출액,행정동별_1년_매출액
가락1동,9836,1633,2492,2706,2438,449,118,10.0,0.0,1.0,7161,84.0,16.56,23,1.3921,2,1.49,0.0,0.0,2.0,3791,12367,0.0,55068.0,3204,2654,2638,4412,4822,3418,3394,1776,366,26,0,2864,2614,2742,5218,4892,3948,3832,1672,478,94,4,43.0,184724.0,117503246.9,2350064937.0
가락2동,12375,3568,2746,2825,2641,453,142,3.0,0.0,4.0,8065,88.0,16.56,23,0.9316,9,66.31,0.0,0.0,2.0,3155,11544,1.0,62654.0,2156,3486,3988,4442,4994,4904,4076,1868,598,64,2,1986,3078,4208,4726,5304,5224,4686,1834,840,182,8,74.0,190052.0,33727171.19,3305262777.0
가락본동,11667,4854,2640,2123,1567,385,98,9.0,2.0,2.0,6083,77.0,16.56,23,1.014,9,5.84,0.0,0.0,2.0,5069,28151,5.0,50842.0,1434,1646,3624,4530,3630,4058,3938,1642,574,64,0,1366,1624,3630,4438,3520,4500,4002,1718,768,132,4,99.0,273627.0,30568803.97,16690566968.0
가리봉동,6096,4454,987,404,210,35,6,5.0,0.0,0.0,3475,53.0,15.774,17,0.4107,0,0.0,0.0,0.0,1.0,1189,4248,0.0,8932.0,98,132,846,908,265,929,505,405,134,10,277,85,108,833,503,190,669,397,443,233,40,205,11.0,230955.0,8641575.096,630834982.0
가산동,18061,14080,2254,996,569,124,38,7.0,0.0,1.0,3859,57.0,17.357,28,2.511,3,0.15,0.0,0.0,0.0,25043,182376,9.0,49292.0,640,620,6356,7718,3426,3204,2818,1236,436,26,0,574,668,7668,5174,2188,2292,2392,1252,532,68,4,239.0,940108.0,71356018.82,88410107312.0
가양1동,20945,14185,2904,1995,1413,359,89,2.0,7.0,3.0,5290,71.0,30.68,39,4.9671,12,26.38,0.0,0.0,1.0,9982,70656,10.0,68158.0,1480,1800,5246,8444,4592,4034,3416,1288,448,30,4,1352,1690,10436,9430,4432,4206,3734,1270,690,128,8,218.0,453464.0,17159849.81,14757470837.0
가양2동,8020,4650,1987,829,428,84,42,0.0,0.0,3.0,4369,62.0,15.34,15,0.8233,5,6.85,0.0,0.0,1.0,914,3352,1.0,27236.0,476,428,1210,2220,1380,1640,3134,1694,592,50,2,416,368,1484,2284,1374,1774,3360,1948,1172,226,4,12.0,90113.0,30928029.88,4922440123.0
가양3동,7746,3743,2294,1098,481,106,24,0.0,0.0,4.0,4315,62.0,15.34,15,0.4739,3,0.99,0.0,0.0,1.0,1252,7941,0.0,28826.0,666,432,1232,2894,1866,1908,2360,1416,488,40,2,634,414,1436,3062,1678,2008,3056,2014,1054,160,6,9.0,67861.0,53256287.08,639075445.0
가회동,1924,930,405,322,195,52,20,2.0,1.0,1.0,1167,19.0,47.392,48,0.5396,1,1.85,0.0,0.0,1.0,969,14180,3.0,7820.0,180,310,392,484,600,656,526,308,160,18,0,136,310,456,544,676,708,608,444,258,46,0,73.0,139554.0,74544906.45,32128854682.0
갈현1동,7455,3614,1708,1165,764,161,43,3.0,0.0,1.0,5900,76.0,13.483,2,0.9604,4,0.7,0.0,0.0,0.0,2038,5306,1.0,29670.0,626,998,2142,2214,2080,2408,2228,1198,508,42,0,442,952,2182,1996,1972,2670,2642,1528,732,106,4,40.0,232027.0,27594935.59,7174683253.0
갈현2동,12574,4777,3364,2313,1637,382,101,1.0,0.0,4.0,7462,86.0,13.483,2,0.9844,4,0.45,0.0,0.0,2.0,2344,6776,1.0,55418.0,1218,2270,3714,3656,4104,4560,3640,2050,906,62,0,1174,2190,4160,3676,4282,5144,4478,2674,1316,144,0,53.0,245983.0,17906347.94,4136366373.0
