adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1125055,고덕1동,7794,87,14.797,11,0.339,24
1125056,고덕2동,6147,78,14.797,11,0.339,24
1125058,암사2동,4085,59,14.797,11,0.339,24
1125059,암사3동,5332,71,14.797,11,0.339,24
1125061,천호1동,6986,83,17.327,28,0.339,24
1125063,천호3동,6286,79,17.327,28,0.339,24
1125065,성내1동,5141,70,17.327,28,0.339,24
1125066,성내2동,5714,74,17.327,28,0.339,24
1125067,성내3동,5534,73,17.327,28,0.339,24
1125070,둔촌1동,14,1,17.327,28,0.339,24
1125071,둔촌2동,7035,84,17.327,28,0.339,24
1125072,암사1동,9094,92,14.797,11,0.339,24
1125073,천호2동,8981,91,17.327,28,0.339,24
1125074,길동,11189,96,17.327,28,0.339,24
