,행정동코드8,시도명,시군구명,행정동명
150,11320660,서울특별시,도봉구,쌍문1동
151,11320670,서울특별시,도봉구,쌍문2동
152,11320680,서울특별시,도봉구,쌍문3동
153,11320681,서울특별시,도봉구,쌍문4동
154,11320690,서울특별시,도봉구,방학1동
155,11320700,서울특별시,도봉구,방학2동
156,11320710,서울특별시,도봉구,방학3동
157,11350560,서울특별시,노원구,월계1동
158,11350570,서울특별시,노원구,월계2동
159,11350580,서울특별시,노원구,월계3동
160,11350595,서울특별시,노원구,공릉1동
161,11350600,서울특별시,노원구,공릉2동
162,11350611,서울특별시,노원구,하계1동
163,11350612,서울특별시,노원구,하계2동
164,11350619,서울특별시,노원구,중계본동
165,11350621,서울특별시,노원구,중계1동
166,11350624,서울특별시,노원구,중계4동
167,11350625,서울특별시,노원구,중계2.3동
168,11350630,서울특별시,노원구,상계1동
169,11350640,서울특별시,노원구,상계2동
170,11350665,서울특별시,노원구,상계3.4동
171,11350670,서울특별시,노원구,상계5동
172,11350695,서울특별시,노원구,상계6.7동
173,11350700,서울특별시,노원구,상계8동
174,11350710,서울특별시,노원구,상계9동
175,11350720,서울특별시,노원구,상계10동
176,11380510,서울특별시,은평구,녹번동
177,11380520,서울특별시,은평구,불광1동
178,11380530,서울특별시,은평구,불광2동
179,11380551,서울특별시,은평구,갈현1동
180,11380552,서울특별시,은평구,갈현2동
181,11380560,서울특별시,은평구,구산동
182,11380570,서울특별시,은평구,대조동
183,11380580,서울특별시,은평구,응암1동
184,11380590,서울특별시,은평구,응암2동
185,11380600,서울특별시,은평구,응암3동
186,11380625,서울특별시,은평구,역촌동
187,11380631,서울특별시,은평구,신사1동
188,11380632,서울특별시,은평구,신사2동
189,11380640,서울특별시,은평구,증산동
190,11380650,서울특별시,은평구,수색동
191,11380690,서울특별시,은평구,진관동
192,11410520,서울특별시,서대문구,천연동
193,11410555,서울특별시,서대문구,북아현동
194,11410565,서울특별시,서대문구,충현동
195,11410585,서울특별시,서대문구,신촌동
196,11410615,서울특별시,서대문구,연희동
197,11410620,서울특별시,서대문구,홍제1동
198,11410640,서울특별시,서대문구,홍제3동
199,11410655,서울특별시,서대문구,홍제2동
200,11410660,서울특별시,서대문구,홍은1동
201,11410685,서울특별시,서대문구,홍은2동
202,11410690,서울특별시,서대문구,남가좌1동
203,11410700,서울특별시,서대문구,남가좌2동
204,11410710,서울특별시,서대문구,북가좌1동
205,11410720,서울특별시,서대문구,북가좌2동
206,11440555,서울특별시,마포구,아현동
207,11440565,서울특별시,마포구,공덕동
208,11440585,서울특별시,마포구,도화동
209,11440590,서울특별시,마포구,용강동
210,11440600,서울특별시,마포구,대흥동
211,11440610,서울특별시,마포구,염리동
212,11440630,서울특별시,마포구,신수동
213,11440655,서울특별시,마포구,서강동
214,11440660,서울특별시,마포구,서교동
215,11440680,서울특별시,마포구,합정동
216,11440690,서울특별시,마포구,망원1동
217,11440700,서울특별시,마포구,망원2동
218,11440710,서울특별시,마포구,연남동
219,11440720,서울특별시,마포구,성산1동
220,11440730,서울특별시,마포구,성산2동
221,11440740,서울특별시,마포구,상암동
222,11470510,서울특별시,양천구,목1동
223,11470520,서울특별시,양천구,목2동
224,11470530,서울특별시,양천구,목3동
225,11470540,서울특별시,양천구,목4동
226,11470550,서울특별시,양천구,목5동
227,11470560,서울특별시,양천구,신월1동
228,11470570,서울특별시,양천구,신월2동
229,11470580,서울특별시,양천구,신월3동
230,11470590,서울특별시,양천구,신월4동
231,11470600,서울특별시,양천구,신월5동
232,11470610,서울특별시,양천구,신월6동
233,11470611,서울특별시,양천구,신월7동
234,11470620,서울특별시,양천구,신정1동
235,11470630,서울특별시,양천구,신정2동
236,11470640,서울특별시,양천구,신정3동
237,11470650,서울특별시,양천구,신정4동
238,11470670,서울특별시,양천구,신정6동
239,11470680,서울특별시,양천구,신정7동
240,11500510,서울특별시,강서구,염창동
241,11500520,서울특별시,강서구,등촌1동
242,11500530,서울특별시,강서구,등촌2동
243,11500535,서울특별시,강서구,등촌3동
244,11500540,서울특별시,강서구,화곡1동
245,11500550,서울특별시,강서구,화곡2동
246,11500560,서울특별시,강서구,화곡3동
247,11500570,서울특별시,강서구,화곡4동
248,11500590,서울특별시,강서구,화곡본동
249,11500591,서울특별시,강서구,화곡6동
250,11500593,서울특별시,강서구,화곡8동
251,11500603,서울특별시,강서구,가양1동
252,11500604,서울특별시,강서구,가양2동
253,11500605,서울특별시,강서구,가양3동
254,11500611,서울특별시,강서구,발산1동
255,11500615,서울특별시,강서구,우장산동
256,11500620,서울특별시,강서구,공항동
257,11500630,서울특별시,강서구,방화1동
258,11500640,서울특별시,강서구,방화2동
259,11500641,서울특별시,강서구,방화3동
260,11530510,서울특별시,구로구,신도림동
261,11530520,서울특별시,구로구,구로1동
262,11530530,서울특별시,구로구,구로2동
263,11530540,서울특별시,구로구,구로3동
264,11530550,서울특별시,구로구,구로4동
265,11530560,서울특별시,구로구,구로5동
266,11530595,서울특별시,구로구,가리봉동
267,11530720,서울특별시,구로구,고척1동
268,11530730,서울특별시,구로구,고척2동
269,11530740,서울특별시,구로구,개봉1동
270,11530750,서울특별시,구로구,개봉2동
271,11530760,서울특별시,구로구,개봉3동
272,11530770,서울특별시,구로구,오류1동
273,11530780,서울특별시,구로구,오류2동
274,11530790,서울특별시,구로구,수궁동
275,11530800,서울특별시,구로구,항동
276,11545510,서울특별시,금천구,가산동
277,11545610,서울특별시,금천구,독산1동
278,11545620,서울특별시,금천구,독산2동
279,11545630,서울특별시,금천구,독산3동
280,11545640,서울특별시,금천구,독산4동
281,11545670,서울특별시,금천구,시흥1동
282,11545680,서울특별시,금천구,시흥2동
283,11545690,서울특별시,금천구,시흥3동
284,11545700,서울특별시,금천구,시흥4동
285,11545710,서울특별시,금천구,시흥5동
286,11560515,서울특별시,영등포구,영등포본동
287,11560535,서울특별시,영등포구,영등포동
288,11560540,서울특별시,영등포구,여의동
289,11560550,서울특별시,영등포구,당산1동
290,11560560,서울특별시,영등포구,당산2동
291,11560585,서울특별시,영등포구,도림동
292,11560605,서울특별시,영등포구,문래동
293,11560610,서울특별시,영등포구,양평1동
294,11560620,서울특별시,영등포구,양평2동
295,11560630,서울특별시,영등포구,신길1동
296,11560650,서울특별시,영등포구,신길3동
297,11560660,서울특별시,영등포구,신길4동
298,11560670,서울특별시,영등포구,신길5동
299,11560680,서울특별시,영등포구,신길6동
300,11560690,서울특별시,영등포구,신길7동
301,11560700,서울특별시,영등포구,대림1동
302,11560710,서울특별시,영등포구,대림2동
303,11560720,서울특별시,영등포구,대림3동
304,11590510,서울특별시,동작구,노량진1동
305,11590520,서울특별시,동작구,노량진2동
306,11590530,서울특별시,동작구,상도1동
307,11590540,서울특별시,동작구,상도2동
308,11590550,서울특별시,동작구,상도3동
309,11590560,서울특별시,동작구,상도4동
310,11590605,서울특별시,동작구,흑석동
311,11590620,서울특별시,동작구,사당1동
312,11590630,서울특별시,동작구,사당2동
313,11590640,서울특별시,동작구,사당3동
314,11590650,서울특별시,동작구,사당4동
315,11590651,서울특별시,동작구,사당5동
316,11590660,서울특별시,동작구,대방동
317,11590670,서울특별시,동작구,신대방1동
318,11590680,서울특별시,동작구,신대방2동
319,11620525,서울특별시,관악구,보라매동
320,11620545,서울특별시,관악구,청림동
321,11620565,서울특별시,관악구,성현동
322,11620575,서울특별시,관악구,행운동
323,11620585,서울특별시,관악구,낙성대동
324,11620595,서울특별시,관악구,청룡동
325,11620605,서울특별시,관악구,은천동
326,11620615,서울특별시,관악구,중앙동
327,11620625,서울특별시,관악구,인헌동
328,11620630,서울특별시,관악구,남현동
329,11620645,서울특별시,관악구,서원동
330,11620655,서울특별시,관악구,신원동
331,11620665,서울특별시,관악구,서림동
332,11620685,서울특별시,관악구,신사동
333,11620695,서울특별시,관악구,신림동
334,11620715,서울특별시,관악구,난향동
335,11620725,서울특별시,관악구,조원동
