"adzn_id","adzn_nm","adzn_area","park_cnt","park_rt"
"1132051100","창제1동",1.1213,8,62.67
"1132051200","창제2동",0.654,5,1.09
"1132051300","창제3동",0.655,3,0.69
"1132051400","창제4동",1.1393,6,1.54
"1132051500","창제5동",0.7009,3,0.51
"1132052100","도봉제1동",8.4451,11,103.17
"1132052200","도봉제2동",1.1182,7,9.81
"1132066000","쌍문제1동",1.1749,4,28.06
"1132067000","쌍문제2동",0.5408,2,0.3
"1132068000","쌍문제3동",0.5044,3,0.4
"1132068100","쌍문제4동",0.5544,2,0.16
"1132069000","방학제1동",1.0401,9,2.03
"1132070000","방학제2동",1.092,5,0.39
"1132071000","방학제3동",1.9496,4,0.68
"1135056000","월계1동",1.1066,6,23.94
"1135057000","월계2동",2.0032,7,1.25
"1135058000","월계3동",1.1674,4,2.29
"1135059500","공릉1동",1.2623,8,17.44
"1135060000","공릉2동",6.9783,10,0.5
"1135061100","하계1동",1.5259,10,3.08
"1135061200","하계2동",0.4996,3,3.82
"1135061900","중계본동",2.1814,3,0.22
"1135062100","중계1동",0.623,5,7.98
"1135062400","중계4동",1.5183,6,352.28
"1135062500","중계2.3동",0.9184,6,8.07
"1135063000","상계1동",5.3985,10,124.53
"1135064000","상계2동",0.6226,0,0
"1135066500","상계3.4동",5.2077,5,0.1
"1135067000","상계5동",0.9062,1,0.07
"1135069500","상계6.7동",1.4492,14,7.79
"1135070000","상계8동",0.6658,10,8.34
"1135071000","상계9동",0.7189,5,2.56
"1135072000","상계10동",0.8086,5,2.96
"1138051000","녹번동",1.7929,10,45.37
"1138052000","불광제1동",3.1226,12,4.77
"1138053000","불광제2동",1.3951,7,10.87
"1138055100","갈현제1동",0.9604,4,0.7
"1138055200","갈현제2동",0.9844,4,0.45
"1138056000","구산동",1.3888,8,6.42
"1138057000","대조동",0.8511,4,0.56
"1138058000","응암제1동",1.109,5,0.27
"1138059000","응암제2동",0.7547,5,1.19
"1138060000","응암제3동",0.7522,4,0.48
"1138062500","역촌동",1.1567,7,0.43
"1138063100","신사제1동",0.8077,2,0.24
"1138063200","신사제2동",1.0454,7,11.29
"1138064000","증산동",0.8068,2,0.25
"1138065000","수색동",1.2893,1,0.03
"1138069000","진관동",11.5566,16,33.83
"1141052000","천연동",0.9821,2,11.77
"1141055500","북아현동",0.4586,6,4.69
"1141056500","충현동",1.1152,1,0.04
"1141058500","신촌동",2.7183,4,0.45
"1141061500","연희동",2.927,9,75.87
"1141062000","홍제제1동",1.2347,7,2.1
"1141064000","홍제제3동",1.1916,4,1.24
"1141065500","홍제제2동",0.6995,0,0
"1141066000","홍은제1동",1.6139,4,1.31
"1141068500","홍은제2동",2.0735,5,95.99
"1141069000","남가좌제1동",0.4752,4,2.9
"1141070000","남가좌제2동",0.7832,4,0.73
"1141071000","북가좌제1동",0.5775,2,3.84
"1141072000","북가좌제2동",0.8243,5,0.74
"1144055500","아현동",0.7438,5,0.85
"1144056500","공덕동",1.0184,4,0.67
"1144058500","도화동",0.6246,2,0.58
"1144059000","용강동",0.79,6,1.37
"1144060000","대흥동",0.8579,2,61.87
"1144061000","염리동",0.4911,2,2.38
"1144063000","신수동",0.7973,4,1.25
"1144065500","서강동",1.4775,8,6.66
"1144066000","서교동",1.6777,7,0.8
"1144068000","합정동",1.7111,3,1.13
"1144069000","망원제1동",1.1002,3,0.44
"1144070000","망원제2동",0.6759,2,0.24
"1144071000","연남동",0.647,2,0.31
"1144072000","성산제1동",0.8586,4,12.31
"1144073000","성산제2동",1.9773,11,9
"1144074000","상암동",8.3963,18,30.06
"1147051000","목1동",1.4321,2,1.66
"1147052000","목2동",1.0206,3,25.68
"1147053000","목3동",0.5315,3,0.51
"1147054000","목4동",0.5771,4,0.66
"1147055000","목5동",1.7651,9,3.96
"1147056000","신월1동",0.6219,5,0.8
"1147057000","신월2동",0.6064,3,0.49
"1147058000","신월3동",0.9176,3,23.99
"1147059000","신월4동",0.4695,5,1.09
"1147060000","신월5동",0.6379,4,0.53
"1147061000","신월6동",0.444,2,0.97
"1147061100","신월7동",1.1784,8,9.51
"1147062000","신정1동",0.747,7,4.08
"1147063000","신정2동",0.5255,2,0.42
"1147064000","신정3동",2.7546,14,61.05
"1147065000","신정4동",0.9964,10,0.97
"1147067000","신정6동",0.9402,7,5.2
"1147068000","신정7동",1.2332,4,11.85
"1150051000","염창동",1.7316,4,6.68
"1150052000","등촌제1동",0.6503,4,0.6
"1150053000","등촌제2동",0,0,0
"1150053500","등촌제3동",1.0596,9,2.21
"1150054000","화곡제1동",1.1969,13,3.71
"1150055000","화곡제2동",0.4543,3,0.66
"1150056000","화곡제3동",0.5215,5,1.07
"1150057000","화곡제4동",0.8514,5,0.58
"1150059000","화곡본동",0.9714,14,104.61
"1150059100","화곡제6동",1.0372,5,7.52
"1150059300","화곡제8동",0.5935,6,1.97
"1150060300","가양제1동",4.9671,12,26.38
"1150060400","가양제2동",0.8233,5,6.85
"1150060500","가양제3동",0.4739,3,0.99
"1150061100","발산제1동",2.8744,8,13.24
"1150061500","우장산동",1.2607,8,29.41
"1150062000","공항동",10.8646,7,0.47
"1150063000","방화제1동",1.4745,13,3.02
"1150064000","방화제2동",6.1531,7,0.19
"1150064100","방화제3동",2.5571,9,25.31
"1153051000","신도림동",1.3918,3,0.83
"1153052000","구로제1동",1.0082,0,0
"1153053000","구로제2동",1.7021,3,0.4
"1153054000","구로제3동",1.0394,2,0.2
"1153055000","구로제4동",0.5241,2,1.66
"1153056000","구로제5동",1.0117,2,0.55
"1153059500","가리봉동",0.4107,0,0
"1153072000","고척제1동",1.1504,1,0.03
"1153073000","고척제2동",1.0248,6,26.25
"1153074000","개봉제1동",1.3189,2,0.26
"1153075000","개봉제2동",0.782,1,0.23
"1153076000","개봉제3동",0.8278,5,50.04
"1153077000","오류제1동",0.7273,2,151.95
"1153078000","오류제2동",4.5047,9,5.69
"1153079000","수궁동",2.6594,5,0.32
"1154551000","가산동",2.511,3,0.15
"1154561000","독산제1동",2.0604,8,2.13
"1154562000","독산제2동",0.6167,6,0.97
"1154563000","독산제3동",0.9343,7,3.44
"1154564000","독산제4동",0.5906,5,6.03
"1154567000","시흥제1동",1.5228,6,0.53
"1154568000","시흥제2동",1.3079,0,0
"1154569000","시흥제3동",1.2605,6,0.82
"1154570000","시흥제4동",0.8211,8,1.61
"1154571000","시흥제5동",1.386,3,0.87
"1156051500","영등포본동",0.8458,2,7.92
"1156053500","영등포동",1.3711,4,1.09
"1156054000","여의동",8.4313,4,3.04
"1156055000","당산제1동",0.7447,1,1.5
"1156056000","당산제2동",1.5802,7,0.66
"1156058500","도림동",0.5855,2,0.84
"1156060500","문래동",1.7854,5,1.64
"1156061000","양평제1동",0.9742,1,0.15
"1156062000","양평제2동",2.8725,3,4.4
"1156063000","신길제1동",0.7224,2,8.01
"1156065000","신길제3동",0.5197,1,0.33
"1156066000","신길제4동",0.2919,0,0
"1156067000","신길제5동",0.4943,2,4.27
"1156068000","신길제6동",0.6555,1,0.12
"1156069000","신길제7동",0.6395,1,0.16
"1156070000","대림제1동",0.4986,2,1.48
"1156071000","대림제2동",0.5721,1,0.28
"1156072000","대림제3동",0.921,5,1.38
"1159051000","노량진제1동",1.6123,4,8.18
"1159052000","노량진제2동",0.6001,0,0
"1159053000","상도제1동",1.4875,3,0.23
"1159054000","상도제2동",0.7723,7,1.04
"1159055000","상도제3동",0.6367,5,1.04
"1159056000","상도제4동",0.9389,1,0.03
"1159060500","흑석동",1.7071,6,22.75
"1159062000","사당제1동",0.6347,2,0.35
"1159063000","사당제2동",2.7611,3,75.46
"1159064000","사당제3동",0.907,5,126.57
"1159065000","사당제4동",0.4358,5,0.73
"1159065100","사당제5동",0.6817,4,0.37
"1159066000","대방동",1.5438,3,27.26
"1159067000","신대방제1동",0.6748,4,0.95
"1159068000","신대방제2동",0.9763,1,43.44
"1162052500","보라매동",0.7497,4,0.15
"1162054500","청림동",0.2969,0,0
"1162056500","성현동",0.6777,0,0
"1162057500","행운동",0.7177,6,9.7
"1162058500","낙성대동",2.2611,5,0.5
"1162059500","청룡동",1.1947,7,0.74
"1162060500","은천동",0.7756,6,58.16
"1162061500","중앙동",0.3844,2,0.73
"1162062500","인헌동",1.0883,5,0.42
"1162063000","남현동",3.2786,5,0.18
"1162064500","서원동",0.6471,5,20.43
"1162065500","신원동",0.5446,1,0.07
"1162066500","서림동",0.9405,4,0.4
"1162068500","신사동",0.6406,2,0.3
"1162069500","신림동",0.5408,2,0.35
"1162071500","난향동",0.8208,1,0.12
"1162072500","조원동",0.6661,2,0.3
"1162073500","대학동",8.399,7,0.15
"1162074500","삼성동",2.6025,4,0.14
"1162076500","미성동",1.3584,8,6.97
"1162077500","난곡동",0.9717,4,1.25
"1165051000","서초1동",1.3816,3,0.25
"1165052000","서초2동",1.23,3,0.24
"1165053000","서초3동",2.9963,7,0.23
"1165053100","서초4동",0.8791,2,0.74
"1165054000","잠원동",1.7555,9,1.44
"1165055000","반포본동",0.9718,4,1.18
"1165056000","반포1동",0.9916,5,0.66
"1165057000","반포2동",1.395,2,2.17
