호선,역명,승하차인원,도로명주소,행정동,위도,경도
2호선,신정네거리,18723.80645,서울특별시 양천구 중앙로 지하261,신정3동,37.51979753,126.8529916
2호선,신촌,69387.22581,서울특별시 마포구 신촌로 지하90,신촌동,37.55544179,126.9361192
2호선,아현,18886.77419,서울특별시 마포구 신촌로 지하270,아현동,37.55735757,126.9560337
2호선,양천구청,12398.45161,서울특별시 양천구 목동로3길 지하33,신정7동,37.51269894,126.8660652
2호선,역삼,95211.96774,서울특별시 강남구 테헤란로 지하156,역삼1동,37.50071627,127.0366182
2호선,영등포구청,38084.03226,서울특별시 영등포구 당산로 지하121,당산1동,37.52569966,126.8966269
2호선,왕십리,26601.19355,서울특별시 성동구 왕십리로 지하300,행당1동,37.56122174,127.0366554
2호선,용답,5004.870968,서울특별시 성동구 용답길 86,사근동,37.56200491,127.0507293
2호선,용두,4459.0,서울특별시 동대문구 천호대로 지하129,용신동,37.57393805,127.0380311
2호선,을지로3가,44261.06452,서울특별시 중구 을지로 지하106,을지로동,37.56626595,126.9903084
2호선,을지로4가,25277.45161,서울특별시 중구 을지로 지하178,을지로동,37.56663699,126.9978528
2호선,을지로입구,87918.83871,서울특별시 중구 을지로 지하42,명동,37.56605095,126.9823729
2호선,이대,27641.58065,서울특별시 마포구 신촌로 지하180,대흥동,37.55679801,126.9457582
2호선,잠실,146200.3226,서울특별시 송파구 올림픽로 지하265,잠실6동,37.51385928,127.1018579
2호선,잠실나루,26169.48387,서울특별시 송파구 오금로 20,잠실6동,37.52068673,127.1038111
2호선,잠실새내,42316.25806,서울특별시 송파구 올림픽로 지하140,잠실3동,37.51156721,127.0863739
2호선,종합운동장,22587.90323,서울특별시 송파구 올림픽로 지하23,잠실7동,37.51096927,127.073356
2호선,충정로,18352.93548,서울특별시 서대문구 서소문로 지하17,충현동,37.5598378,126.964474
2호선,한양대,14219.25806,서울특별시 성동구 왕십리로 206,사근동,37.55557788,127.0435845
2호선,합정,64123.16129,서울특별시 마포구 양화로 지하55,서교동,37.55011521,126.9146382
2호선,홍대입구,136226.871,서울특별시 마포구 양화로 지하160,서교동,37.55689041,126.9236743
3호선,가락시장,15889.87097,서울특별시 송파구 송파대로 지하257,가락1동,37.49274403,127.1184857
3호선,경복궁,42186.93548,서울특별시 종로구 사직로 지하130,사직동,37.5758613,126.9730627
3호선,경찰병원,13256.22581,서울특별시 송파구 중대로 지하149,가락본동,37.49560314,127.1240678
3호선,고속터미널,89744.93548,서울특별시 서초구 신반포로 지하188,반포4동,37.50492674,127.0049499
3호선,교대,22812.22581,서울특별시 서초구 서초대로 지하294,서초1동,37.49281786,127.0138385
3호선,구파발,39630.29032,서울특별시 은평구 진관2로 지하15-25,진관동,37.63684179,126.9187454
3호선,금호,14031.03226,서울특별시 성동구 동호로 지하104,금호4가동,37.54811252,127.0158938
3호선,남부터미널,53367.96774,서울특별시 서초구 서초중앙로 지하31,서초1동,37.48514017,127.0162071
3호선,녹번,26786.83871,서울특별시 은평구 통일로 지하602-1,녹번동,37.60074218,126.9360194
3호선,대청,18274.03226,서울특별시 강남구 일원로 지하2,개포3동,37.49372186,127.0794936
3호선,대치,22882.51613,서울특별시 강남구 남부순환로 지하2952,대치2동,37.49456276,127.0634302
3호선,도곡,8872.225806,서울특별시 강남구 남부순환로 지하2814,도곡2동,37.49086477,127.0553234
3호선,독립문,13795.06452,서울특별시 서대문구 통일로 지하247,천연동,37.57441036,126.9577503
3호선,동대입구,16610.19355,서울특별시 중구 동호로 지하256,장충동,37.55903022,127.0054602
3호선,매봉,21489.58065,서울특별시 강남구 남부순환로 지하2744,도곡1동,37.48696113,127.0466146
