호선,역명,승하차인원,도로명주소,행정동,위도,경도
8호선,송파,16759.6129,서울특별시 송파구 송파대로 지하354,가락1동,37.49968667,127.1121799
8호선,암사,31929.32258,서울특별시 강동구 올림픽로 지하776,암사1동,37.55014034,127.1275402
8호선,잠실,32861.0,서울특별시 송파구 올림픽로 305,잠실6동,37.51497717,127.1042164
8호선,장지,30138.0,서울특별시 송파구 송파대로 지하82,문정2동,37.47811921,127.1264242
8호선,천호,29261.25806,서울특별시 강동구 천호대로 지하997,성내2동,37.53857898,127.1237424
9호선,가양,39354.51613,서울특별시 강서구 양천로 485,가양2동,37.56155426,126.8543883
9호선,개화,4212.064516,서울특별시 강서구 개화동로 8길 38,방화2동,37.57916644,126.7980723
9호선,고속터미널,33747.09677,서울특별시 서초구 신반포로 188,반포4동,37.50492674,127.0049499
9호선,구반포,1891.903226,서울특별시 서초구 신반포로 17,반포본동,37.50144982,126.9873749
9호선,국회의사당,30022.64516,서울특별시 영등포구 국회대로 758,여의동,37.52806743,126.9178855
9호선,노들,8027.032258,서울특별시 동작구 노량진로 238,노량진1동,37.51277879,126.9530641
9호선,노량진,46338.87097,서울특별시 동작구 노량진로 130,노량진1동,37.51357356,126.9408265
9호선,당산,35303.16129,서울특별시 영등포구 양평로 40,당산2동,37.53374059,126.9021715
9호선,동작,2949.709677,서울특별시 동작구 현충로 220,사당2동,37.503067,126.9779371
9호선,둔촌오륜,1953.451613,서울특별시 강동구 강동대로 지하303,둔촌1동,37.51942425,127.1384273
9호선,등촌,21058.35484,서울특별시 강서구 공항대로 529,등촌1동,37.55111714,126.86495
9호선,마곡나루,23367.12903,서울특별시 강서구 마곡중앙5로 2,가양1동,37.56679303,126.8275182
9호선,봉은사,42266.87097,서울특별시 강남구 봉은사로 지하601,삼성1동,37.51436062,127.0608919
9호선,사평,7051.516129,서울특별시 서초구 사평대로 285,반포1동,37.5041589,127.0154342
9호선,삼성중앙,14181.35484,서울특별시 강남구 봉은사로 지하501,삼성2동,37.51288303,127.0527057
9호선,삼전,13359.35484,서울특별시 송파구 백제고분로 지하189,삼전동,37.50450191,127.0874456
9호선,샛강,11277.74194,서울특별시 영등포구 의사당대로 166,여의동,37.5166297,126.9290797
9호선,석촌,15994.74194,서울특별시 송파구 송파대로 지하439,석촌동,37.50594964,127.1063453
9호선,석촌고분,12578.29032,서울특별시 송파구 백제고분로 지하274,삼전동,37.50247032,127.0967037
9호선,선유도,15111.3871,서울특별시 영등포구 양평로 124,양평2동,37.53813152,126.8934205
9호선,선정릉,18118.06452,서울특별시 강남구 선릉로 지하580,삼성2동,37.51085389,127.043641
9호선,송파나루,10660.6129,서울특별시 송파구 백제고분로 지하446,방이2동,37.5106317,127.1123939
9호선,신논현,57150.16129,서울특별시 강남구 봉은사로 102,역삼1동,37.50463416,127.0250313
9호선,신목동,7076.451613,서울특별시 양천구 목동중앙로 217,목2동,37.54449166,126.8827535
9호선,신반포,6799.064516,서울특별시 서초구 신반포로 105,반포2동,37.50341372,126.995899
9호선,신방화,12623.74194,서울특별시 강서구 방화대로 301,방화1동,37.5676834,126.8165246
9호선,양천향교,18137.77419,서울특별시 강서구 양천로 341,가양1동,37.56876119,126.8408178
9호선,언주,20892.54839,서울특별시 강남구 봉은사로 지하201,논현2동,37.5074455,127.0342847
9호선,여의도,51884.48387,서울특별시 영등포구 의사당대로 101,여의동,37.52190694,126.9239689
9호선,염창,31370.32258,서울특별시 강서구 공항대로 631,염창동,37.54705931,126.875005
9호선,올림픽공원,16903.0,서울특별시 송파구 양재대로 지하1233,오륜동,37.51608765,127.1306001
9호선,종합운동장,8831.129032,서울특별시 송파구 올림픽로 49,잠실2동,37.51148063,127.0760081
9호선,중앙보훈병원,20008.41935,서울특별시 강동구 동남로 지하625,둔촌2동,37.52889572,127.148542
9호선,증미,13549.93548,서울특별시 강서구 양천로 560,등촌1동,37.55771941,126.8612469
9호선,한성백제,5219.548387,서울특별시 송파구 위례성대로 지하29,오륜동,37.5164648,127.1163033
9호선,흑석,15219.51613,서울특별시 동작구 현충로 90,흑석동,37.50908532,126.9635701
경의중앙선,가좌,10242.19355,서울특별시 서대문구 수색로 27,남가좌1동,37.568611,126.914841
경의중앙선,공덕,6747.935484,서울특별시 마포구 마포대로 100,아현동,37.542611,126.952134
경의중앙선,디지털미디어시티,4883.516129,서울특별시 은평구 수색로 193,수색동,37.577964,126.900421
경의중앙선,망우,14403.51613,서울특별시 중랑구 망우로 55길 11-10,상봉1동,37.599288,127.092318
경의중앙선,상봉,10901.06452,서울특별시 중랑구 망우로 297,상봉1동,37.595254,127.085853
경의중앙선,서강대,3998.16129,서울특시 마포구 서강로 지하118,노고산동,37.552132,126.935389
경의중앙선,서빙고,4031.83871,서울특별시 용산구 서빙고로 238,서빙고동,37.51961,126.988358
경의중앙선,서울역,8449.290323,서울특별시 용산구 한강대로 405,남영동,37.554713,126.970787
경의중앙선,수색,5203.806452,서울특별시 은평구 수색로 261-1,수색동,37.580855,126.895681
경의중앙선,신촌,1762.322581,서울특별시 서대문구 신촌역로 30,신촌동,37.559768,126.942308
경의중앙선,양원,5466.806452,서울특별시 중랑구 송림길 147,망우본동,36.963209,129.091131
경의중앙선,옥수,97.41935484,서울특별시 성동구 동호로 21,옥수동,37.540514,127.018698
경의중앙선,왕십리,31089.64516,서울특별시 성동구 왕십리 광장로 17,행당1동,37.561128,127.035505
경의중앙선,응봉,3158.645161,서울특별시 성동구 고산자로 123,응봉동,37.550433,127.034824
경의중앙선,이촌,6524.548387,서울특별시 용산구 이촌로 71길 42,한강로동,37.522476,126.973816
경의중앙선,중랑,10338.80645,서울특별시 중랑구 중랑역로 9,중화2동,37.594948,127.076152
경의중앙선,한남,7291.645161,서울특별시 용산구 독서당로6길 12-13,한남동,37.529361,127.008984
경의중앙선,홍대입구,4520.580645,서울특별시 마포구 양화로 지하 188,서교동,37.55808,126.925533
경의중앙선,회기,44400.83871,서울특별시 동대문구 회기로 196,휘경1동,37.589802,127.057936
경의중앙선,효창공원앞,5965.967742,서울특별시 용산구 백범로 287,효창동,37.539289,126.961339
경춘선,신내,3922.774194,서울특별시 중랑구 신내역로 20,망우본동,37.612855,127.103277
공항철도,공덕,5959.709677,서울특별시 마포구 마포대로 92,도화동,37.54284055,126.9513301
공항철도,디지털미디어시티,24248.25806,서울특별시 마포구 성암로 184,상암동,37.57682544,126.8990205
공항철도,마곡나루,17006.90323,서울특별시 강서구 마곡중앙로 지하 135,방화1동,37.56581914,126.8276358
공항철도,서울역,24796.70968,서울특별시 용산구 청파로 378,남영동,37.54911784,126.9704643
공항철도,홍대입구,28085.80645,서울특별시 마포구 양화로 188,서교동,37.55774103,126.9264939
분당선,강남구청,17921.90323,서울시 강남구 학동로 지하 364,삼성2동,37.517172,127.041275
분당선,개포동,8913.903226,서울특별시 강남구 개포로 420,개포2동,37.489112,127.066027
분당선,구룡,4292.322581,서울특별시 강남구 개포로 403,개포2동,37.486985,127.059496
분당선,대모산입구,10109.45161,서울특별시 강남구 개포로 522,개포2동,37.491347,127.072702
분당선,도곡,13231.03226,서울특별시 강남구 남부순환로 지하 2814,도곡2동,37.490914,127.055393
분당선,서울숲,23573.67742,서울특별시 성동구 왕십리로 지하 77,성수1가1동,37.543647,127.044686
분당선,선릉,28732.06452,서울특별시 강남구 테헤란로 지하 340,삼성2동,37.504479,127.048941
분당선,선정릉,13965.0,서울특별시 강남구 선릉로 지하 580,삼성2동,37.510275,127.043817
분당선,수서,27551.54839,서울특별시 강남구 광평로 지하 270,수서동,37.487633,127.101118
분당선,압구정로데오,38685.19355,서울특별시 강남구 압구정로 지하 402,청담동,37.527385,127.040555
분당선,한티,30790.32258,서울특별시 강남구 선릉로 지하 228,도곡2동,37.496208,127.052883
신림선,당곡,8458.580645,서울특별시 관악구 보라매로 6,보라매동,37.49003911,126.9275688
신림선,대방,4405.483871,서울특별시 영등포구 영등포로 지하 405,신길7동,37.51284017,126.9253168
신림선,보라매,6591.935484,서울특별시 동작구 여의대방로 148-2,대방동,37.50031271,126.9204859
신림선,보라매공원,4020.290323,서울특별시 동작구 보라매로5길 28,신대방2동,37.49522541,126.9182588
신림선,보라매병원,13348.74194,서울특별시 동작구 보라매로5길 20,신대방2동,37.49307176,126.9238861
신림선,샛강,5128.516129,서울특별시 영등포구 의사당대로 지하 166,여의동,37.51721994,126.929404
신림선,서울대벤처타운,16314.29032,서울특별시 관악구 신림로 144,서림동,37.47204068,126.9339766
신림선,서울지방병무청,5484.967742,서울특별시 동작구 여의대방로 지하 218,대방동,37.50604687,126.9227834
신림선,서원,6245.483871,서울특별시 관악구 신림동 808-717,서원동,37.47827336,126.9332282
신림선,신림,3886.193548,서울특별시 관악구 남부순환로 지하 1614,신림동,37.48489076,126.9296099
우이신설선,4.19민주묘지,5345.064516,서울특별시 강북구 삼양로 519,우이동,37.64954,127.01371
우이신설선,보문,2900.16129,서울특별시 성북구 보문로 지하 116,보문동,37.58551,127.01939
우이신설선,북한산보국문,10804.22581,서울특별시 성북구 보국문로 지하 88,정릉4동,37.61233,127.00816
우이신설선,북한산우이,6333.903226,서울특별시 강북구 삼양로 지하 676,우이동,37.66284,127.01272
우이신설선,삼양,3864.935484,서울특별시 강북구 삼양로 지하 259,삼양동,37.62706,127.01817
우이신설선,삼양사거리,4762.774194,서울특별시 강북구 삼양로 197,삼양동,37.62144,127.02049
우이신설선,성신여대입구,6679.903226,서울특별시 성북구 동소문로 지하 102,삼선동,37.59287,127.01656
우이신설선,솔밭공원,4737.322581,서울특별시 강북구 삼양로 595,우이동,37.65607,127.01326
우이신설선,솔샘,10357.41935,서울특별시 강북구 솔샘로 지하 189,삼양동,37.62037,127.01357
우이신설선,신설동,3869.419355,서울특별시 동대문구 왕산로 지하 1,용신동,37.57579,127.02361
우이신설선,정릉,8058.580645,서울특별시 성북구 아리랑로 지하 122,정릉1동,37.60278,127.01345
우이신설선,화계,6412.774194,서울특별시 강북구 삼양로 341,수유1동,37.63428,127.0175
