호선,역명,승하차인원
7호선,군자,24791.12903
7호선,남구로,27569.51613
7호선,남성,20065.51613
7호선,내방,25706.22581
7호선,노원,38255.58065
7호선,논현,31479.3871
7호선,대림,16827.45161
7호선,도봉산,17609.77419
7호선,뚝섬유원지,16586.83871
7호선,마들,22858.45161
7호선,먹골,18571.58065
7호선,면목,26537.90323
7호선,반포,10972.51613
7호선,보라매,12507.32258
7호선,사가정,29182.19355
7호선,상도,20028.51613
7호선,상봉,30549.29032
7호선,수락산,23344.35484
7호선,숭실대입구,22103.48387
7호선,신대방삼거리,26598.25806
7호선,신풍,19923.6129
7호선,어린이대공원,23987.93548
7호선,온수,16482.25806
7호선,용마산,10562.87097
7호선,이수,28550.41935
7호선,장승배기,16686.87097
7호선,중계,24973.54839
7호선,중곡,18967.25806
7호선,중화,19109.80645
7호선,천왕,19983.74194
7호선,청담,34794.93548
7호선,태릉입구,15301.77419
7호선,하계,31141.03226
7호선,학동,42029.77419
8호선,가락시장,14499.45161
8호선,강동구청,18787.12903
8호선,몽촌토성,11838.93548
8호선,문정,36927.3871
8호선,복정,14844.51613
8호선,석촌,15593.09677
8호선,송파,16759.6129
8호선,암사,31929.32258
8호선,잠실,32861
8호선,장지,30138
8호선,천호,29261.25806
9호선,가양,39354.51613
9호선,개화,4212.064516
9호선,고속터미널,33747.09677
9호선,구반포,1891.903226
9호선,국회의사당,30022.64516
9호선,노들,8027.032258
9호선,노량진,46338.87097
9호선,당산,35303.16129
9호선,동작,2949.709677
9호선,등촌,21058.35484
9호선,마곡나루,23367.12903
9호선,사평,7051.516129
9호선,샛강,11277.74194
9호선,선유도,15111.3871
9호선,신논현,57150.16129
9호선,신목동,7076.451613
9호선,신반포,6799.064516
9호선,신방화,12623.74194
9호선,양천향교,18137.77419
9호선,여의도,51884.48387
9호선,염창,31370.32258
9호선,증미,13549.93548
9호선,흑석,15219.51613
9호선,둔촌오륜,1953.451613
9호선,봉은사,42266.87097
9호선,삼성중앙,14181.35484
9호선,삼전,13359.35484
9호선,석촌,15994.74194
9호선,석촌고분,12578.29032
9호선,선정릉,18118.06452
9호선,송파나루,10660.6129
9호선,언주,20892.54839
9호선,올림픽공원,16903
9호선,종합운동장,8831.129032
9호선,중앙보훈병원,20008.41935
9호선,한성백제,5219.548387
1호선,광운대,13365
1호선,녹천,7466.903226
1호선,도봉,10599.41935
1호선,도봉산,12019.93548
1호선,방학,17540.80645
경원선,서빙고,4031.83871
1호선,석계,14637.09677
1호선,신이문,14650.3871
중앙선,옥수,97.41935484
중앙선,왕십리,31089.64516
1호선,외대앞,14913.35484
1호선,월계,10975.64516
중앙선,응봉,3158.645161
중앙선,이촌,6524.548387
1호선,창동,1.166666667
1호선,청량리,33261.74194
중앙선,한남,7291.645161
경의선,가좌,10242.19355
경의선,공덕,6747.935484
경의선,디지털미디어시티,4883.516129
경의선,서강대,3998.16129
경의선,서울역,8449.290323
경의선,수색,5203.806452
경의선,신촌,1762.322581
경의선,홍대입구,4520.580645
경의선,효창공원앞,5965.967742
경춘선,신내,3922.774194
공항철도 1호선,공덕,5959.709677
공항철도 1호선,디지털미디어시티,24248.25806
공항철도 1호선,마곡나루,17006.90323
공항철도 1호선,서울역,24796.70968
공항철도 1호선,홍대입구,28085.80645
분당선,강남구청,17921.90323
분당선,개포동,8913.903226
분당선,구룡,4292.322581
분당선,대모산입구,10109.45161
분당선,도곡,13231.03226
분당선,복정,1.444444444
분당선,서울숲,23573.67742
분당선,선릉,28732.06452
분당선,선정릉,13965
분당선,수서,27551.54839
분당선,압구정로데오,38685.19355
분당선,한티,30790.32258
신림선,당곡,8458.580645
신림선,대방,4405.483871
신림선,보라매,6591.935484
신림선,보라매공원,4020.290323
신림선,보라매병원,13348.74194
신림선,샛강,5128.516129
신림선,서울대벤처타운,16314.29032
신림선,서울지방병무청,5484.967742
신림선,서원,6245.483871
신림선,신림,3886.193548
우이신설선,4.19민주묘지,5345.064516
우이신설선,보문,2900.16129
우이신설선,북한산보국문,10804.22581
우이신설선,북한산우이,6333.903226
우이신설선,삼양,3864.935484
우이신설선,삼양사거리,4762.774194
우이신설선,성신여대입구,6679.903226
우이신설선,솔밭공원,4737.322581
우이신설선,솔샘,10357.41935
우이신설선,신설동,3869.419355
우이신설선,정릉,8058.580645
우이신설선,화계,6412.774194
중앙선,망우,14403.51613
중앙선,상봉,10901.06452
중앙선,양원,5466.806452
중앙선,중랑,10338.80645
중앙선,회기,44400.83871
