상호명,도로명주소,행정동명,위도,경도
카카오VX,"서울특별시 동대문구 한천로 126, 1층 (장안동)",장안1동,37.5722415064921,127.066305155288
노리밋커피룸,"서울특별시 용산구 후암로35길 49, 1층 (후암동)",후암동,37.5493033864043,126.976171042195
서울마님죽,"서울특별시 동대문구 왕산로 117, 불로장생타워 1층 1-3호 (제기동)",제기동,37.5784958557261,127.036492900333
우지커피 마곡점,"서울특별시 강서구 마곡중앙6로 42, 사이언스타 1층 115호 (마곡동)",가양1동,37.5601077371065,126.832082440541
에스에스에스(SSS),"서울특별시 동작구 만양로14라길 2, 1층 (노량진동)",노량진1동,37.5115809215988,126.945351066444
탑스타PC방,"서울특별시 강북구 삼양로 447, 2층 (수유동)",인수동,37.6433428979238,127.015934869853
MAXSPEED 창동본점,"서울특별시 도봉구 도봉로 578, 2층 (창동)",창5동,37.6562940617336,127.039703171252
꽃다비,"서울특별시 은평구 증산로15길 41, 1층 (신사동)",신사2동,37.5903355880616,126.908917372039
내가 끓인 봉지라면,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 1층 141호 (상암동)",상암동,37.580107752042,126.888982346416
카페 모모이,"서울특별시 마포구 와우산로13길 35, 아진 2층 202호 (상수동)",서강동,37.5487960685012,126.92154117324
에이치스커피,"서울특별시 관악구 행운1길 95, 1층 (봉천동)",행운동,37.4828952969035,126.956126710198
노빵노게인,"서울특별시 용산구 새창로12길 8, 1층 (도원동)",용문동,37.5393434690218,126.957799378667
달달차차(DALDALCHACHA),"서울특별시 중랑구 용마산로129나길 101, C동 202호 (신내동, 라이프미성아파트)",신내1동,37.6032529186598,127.098807349222
cafe55,"서울특별시 송파구 새말로5길 5, 1층 (문정동)",문정1동,37.4831401998325,127.124439456015
피트 앤 브레드,"서울특별시 송파구 정의로8길 9, 에이제이비전타워 1층 (문정동)",문정2동,37.4862271268212,127.11677647675
Day by Day(데이 바이 데이),"서울특별시 양천구 신정로7길 60-2, 금경빌딩 1층 2호 (신정동)",신정3동,37.5122385833128,126.837728864531
에이에이티(AAT)카페,"서울특별시 강남구 봉은사로68길 35, 지상1층 (삼성동)",삼성2동,37.5100214926183,127.051577908148
네오피스트,"서울특별시 구로구 구로동로 206, 1층 (구로동)",구로2동,37.49689551775,126.882696448004
마카롱롱롱,"서울특별시 마포구 성미산로26길 8, 1층 102호 (연남동, 올인빌라)",연남동,37.5634143168404,126.922248194459
제로백프리미어,"서울특별시 마포구 망원로 24, 지하1층 (망원동)",망원1동,37.5561118914478,126.899636081982
달콤왕가탕후루 신촌점,서울특별시 서대문구 연세로5길 4 (창천동),신촌동,37.55728414803,126.936624535649
보리원 파크리오점,"서울특별시 송파구 올림픽로35길 10, B동 1층 120호 (신천동, 파크리오)",잠실4동,37.5203136784994,127.113265160573
작업실,"서울특별시 성동구 사근동길 50, 1층 101호 (사근동)",사근동,37.5607646857498,127.04633997304
메가엠지씨커피 중곡대원점,"서울특별시 광진구 용마산로 114, 경동빌딩 1층 103호 (중곡동)",중곡4동,37.5638803629845,127.087099875861
라면킹,"서울특별시 광진구 긴고랑로22길 25, 1층 (중곡동)",중곡2동,37.5599236595415,127.083959841545
메가엠지씨커피 청구신당점,"서울특별시 중구 다산로36길 36, 1층 1호 (신당동)",동화동,37.5619153937036,127.016905260407
탑브레드(TOP BREAD),"서울특별시 동작구 동작대로 지하 3, 사당역(4호선) 지하3층 사당역433-140, 제7호 (사당동)",사당1동,37.4768632653727,126.981595139341
카페 마을,"서울특별시 관악구 국회단지2길 7, 1층 102호 (봉천동)",은천동,37.4868228734621,126.939925589822
벌크커피 방이점,"서울특별시 송파구 백제고분로50길 30-4, 1층 102호 (방이동, 강남팰리스)",방이2동,37.5132762837757,127.117799268066
하루달곰,"서울특별시 노원구 상계로1길 82-14, 1층 102호 (상계동, 비콘드림힐아파트)",상계2동,37.6591458137172,127.061779785722
영양사의 반찬가게,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",여의동,37.5251913154781,126.929112756574
카페천국,"서울특별시 광진구 아차산로 345, 101동 1층 111호 (자양동, 래미안프리미어팰리스)",자양1동,37.5375052411306,127.08158295574
(주)학산 테라로사커피 국립현대미술관(서울관) 지점,"서울특별시 종로구 삼청로 30, 국립현대미술관 서울관 1층 (소격동)",삼청동,37.5786280284849,126.980087994867
지나가다,"서울특별시 노원구 화랑로 349-8, 101호 (월계동)",월계3동,37.6155791646365,127.066532769245
준삐삐,"서울특별시 마포구 신촌로12길 19, 1층 2호 (노고산동)",서교동,37.5554773940241,126.932744444988
카페(cafe)영차,"서울특별시 영등포구 국회대로 608, 영등포경찰서 1층 (당산동3가)",당산1동,37.5259893677858,126.901193281879
원유로 스페셜티 송파 방이역점,"서울특별시 송파구 양재대로 1148, 왕천빌딩 1층 101호 (오금동)",오금동,37.5096893209385,127.127328312456
테라로사 광화문지점,"서울특별시 종로구 종로1길 50, 비동 1층 (중학동, 더케이트윈타워)",종로1.2.3.4가동,37.5747244659804,126.979022440109
낭띠,"서울특별시 송파구 올림픽로 212, 지하1층 136-12호 (잠실동, 갤러리아팰리스)",잠실3동,37.5107067799275,127.094231575378
청과원 마포프레스티지자이점,"서울특별시 마포구 대흥로24길 24, A동 B3층 112호 (염리동, 마포프레스티지자이)",염리동,37.5539607082089,126.947610265434
유부야 방학점,"서울특별시 도봉구 방학로10길 40, 1층 (방학동)",방학2동,37.6639616429508,127.033763021972
왕가 탕후루,"서울특별시 종로구 대명길 41, 1층 (명륜4가)",혜화동,37.5827715744079,126.999339392172
왕가 탕후루,"서울특별시 동대문구 회기로 143, 1층 (회기동)",회기동,37.5917228127148,127.052463523261
여기도 조은 돈가스,"서울특별시 구로구 고척로27길 115, 1층 (개봉동)",개봉1동,37.5068372106932,126.845084467553
닷콤,"서울특별시 종로구 창경궁로35길 40, 지하1층 (혜화동)",혜화동,37.5875290631292,127.002524509029
1847인덕대점,"서울특별시 노원구 초안산로 12, 인덕대학교 학술정보센터 1층 (월계동)",월계2동,37.6302514486494,127.054448642206
라따뚜이 케이크,"서울특별시 성동구 무학로 33, 152동 지1층 비106호 (하왕십리동, 텐즈힐)",왕십리도선동,37.5691641596929,127.02634785313
정이든김밥,"서울특별시 성북구 보국문로 19-8, 1층 101호 (정릉동)",정릉2동,37.6064275479143,127.010478960457
더 바이브(The vibe),"서울특별시 노원구 중계로 195, 제상가동 102호 (중계동, 동진,신안아파트)",중계본동,37.6495870762085,127.078912843722
달리는 커피,"서울특별시 마포구 망원로11길 77, 1층 (망원동)",망원2동,37.5607765996807,126.904831528026
투썸플레이스 오금교이안과점,"서울특별시 구로구 구로중앙로 217, 1층 103호 (구로동)",구로2동,37.504982957633,126.876608559959
고씨네 빨간오뎅,"서울특별시 양천구 목동동로 53, 상가동 1층 118호 (신정동, 동문굿모닝탑Ⅰ)",신정7동,37.5150061976255,126.860819809577
달빛호떡,"서울특별시 구로구 경인로35길 113-5, 1층 (고척동)",고척2동,37.5013382209221,126.85184434059
매머드익스프레스 가산G밸리더리브스마트타워점,"서울특별시 금천구 가산디지털2로 34, 지벨리더리브스마트타워 1층 111호 (가산동)",가산동,37.4716606034832,126.883585441951
라이크 광운대점,"서울특별시 노원구 석계로 103, 동우빌딩 3층 (월계동)",월계1동,37.6228376867667,127.060712349808
사라이(SARAY),"서울특별시 서초구 강남대로95길 38, 6층 (잠원동)",잠원동,37.5134944072017,127.01789988043
달리는 커피 홍제역점,"서울특별시 서대문구 통일로37길 27, 제지1층 제B02호 (홍제동, 홍제 뉴씨엘 주상복합)",홍제1동,37.5869971363518,126.944257061196
카페봄봄 선릉점,"서울특별시 강남구 선릉로 424, 지상1층 6호 (대치동)",대치4동,37.5029101502925,127.050065020431
베러먼데이 CJ제일제당점,"서울특별시 강남구 삼성로85길 34, 이노플레이(INNO Play) 지상1층 (대치동)",대치4동,37.5046920774805,127.054523011441
프룻스토어24아워,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 1층 107호 (문정동)",문정2동,37.4846614982049,127.120933640924
매머드익스프레스 잠실종합운동장점,"서울특별시 송파구 올림픽로8길 4-11, 잠실 포레디움 1층 101호 (잠실동)",잠실본동,37.5111989687345,127.079308246294
더 베이크 (THE BAKE) 서초점,"서울특별시 서초구 효령로 304, 국제전자센터 지하1층 지1014호 (서초동)",서초1동,37.4847315992014,127.017803806463
디저트샵 아띠랑스,"서울특별시 중랑구 겸재로 251, 1층 102호 (망우동)",망우3동,37.5903056119854,127.095271503553
주식회사 페츠베리머치카페,"서울특별시 용산구 한강대로84길 20, 1층 (남영동)",남영동,37.5435901591764,126.973661149649
우리할매떡볶이 경복궁점,"서울특별시 종로구 자하문로 84, 1층 (궁정동)",청운효자동,37.5835428833204,126.970695995164
에그에그 커피,"서울특별시 노원구 노원로1길 83, 지하1층 (공릉동)",공릉2동,37.620666193161,127.082696250431
유당탕탕(yudangtangtang),"서울특별시 강북구 노해로17길 12, 지하1층 (수유동)",수유3동,37.6407280274927,127.021781518604
카페아이갓에브리씽용산구장애인커뮤니티센터점,"서울특별시 용산구 서빙고로 245, 용산구 시설관리공단 1층 (서빙고동)",서빙고동,37.5204992000128,126.991114946188
회가대표 초밥24 사당역점,"서울특별시 서초구 동작대로 18, 1층 (방배동)",방배2동,37.4781046625452,126.982091718723
PATISSERIE JUST(파티세리 저스트),"서울특별시 은평구 증산서길 64-8, 삼봉빌딩 1층 (증산동)",증산동,37.582023291013,126.905805862808
명랑시대쌀핫도그 개봉중앙시장점,"서울특별시 구로구 개봉로17길 26, 1층 (개봉동)",개봉2동,37.491667270718,126.854304663096
청파로움,"서울특별시 용산구 청파로47길 53, 1층 (청파동3가)",청파동,37.5446987175505,126.967398645491
컴포즈커피 명지대정문점,"서울특별시 서대문구 거북골로 21, 1층 일부 (남가좌동)",남가좌2동,37.580103230284,126.924978012449
주아 루엘르,"서울특별시 송파구 송파대로 141, 르피에드 1층 107호 (문정동)",문정2동,37.4827982488674,127.123339910507
씨유 은평증산로점,"서울특별시 은평구 증산로 367-20, 1층 (신사동)",신사2동,37.5894446480146,126.911832410704
은하수 제과,"서울특별시 성북구 동소문로20나길 47, 코아루센타시아 1층 108,109호 (동선동1가)",동선동,37.5930552141643,127.019152563127
케이크아웃(CAKE OUT),"서울특별시 용산구 우사단로10길 87, 1층 (한남동)",한남동,37.532101107359,127.000238042506
롯데웰푸드(주) 파스퇴르밀크바(김포몰점),"서울특별시 강서구 하늘길 38, 지하1층 (방화동, 방화2동, 김포공항 스카이파크)",방화2동,37.5713698504776,126.80296035927
ZOO PC방,"서울특별시 송파구 백제고분로9길 27, 지상2층 (잠실동)",잠실본동,37.5097592284137,127.082114763805
웻올커피 WET ALL COFFEE,"서울특별시 강서구 마곡중앙6로 10, 마곡역센트럴푸르지오시티 1층 113호 (마곡동)",가양1동,37.560386517159,126.828207752706
천씨씨커피 서울방화점,"서울특별시 강서구 양천로 100, 1~2층 (방화동)",방화1동,37.5733005229364,126.814887253698
빵길,"서울특별시 마포구 월드컵로25길 26, 101동 1-006호 (망원동, 마포영화블렌하임)",망원2동,37.5585307790582,126.906300605198
무지개 탕후루,"서울특별시 송파구 석촌호수로 134, 1층 107호 (삼전동)",삼전동,37.5070970089198,127.091927935138
(주)학산 테라로사커피 노을공원지점,"서울특별시 마포구 하늘공원로 112, 산악체험문화센터 1층 (상암동)",상암동,37.5693758111935,126.879941595556
보리원잠실엘스점,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 1층 1A10호 (잠실동)",잠실2동,37.512084433428,127.08418616626
쉬즈베이글,"서울특별시 관악구 관악로 227-1, 1층 (봉천동)",중앙동,37.4850465252257,126.955352864976
달리는 커피 서울북한산 두산위브 홍은점,"서울특별시 서대문구 홍은중앙로3길 9, 제상가동 제지2층 제16호 (홍은동, 북한산 두산위브)",홍은1동,37.5990017774988,126.944654295681
무무대베이크,"서울특별시 마포구 연남로3길 29, 1층 (연남동)",연남동,37.5607366136962,126.921113504749
카페일리터 구로점,"서울특별시 구로구 도림로3길 3-7, 1층 (구로동)",구로4동,37.4855979043845,126.886034012545
매머드익스프레스 가산반도아이비밸리점,"서울특별시 금천구 가산디지털1로 204, 1층 105호 (가산동)",가산동,37.4835033620443,126.881038151818
하늘카페,"서울특별시 강북구 삼양로99길 33, 우이교회 사회교육관 2층 (수유동)",인수동,37.6383762968468,127.016036457984
시은Tea,"서울특별시 동작구 여의대방로22나길 39, 우인하우스  1층 102호 (신대방동)",신대방2동,37.4964048301115,126.921921585955
메가후르츠(MEGAFRUITS)장승배기점,"서울특별시 동작구 장승배기로10길 23, 1층 (상도동)",상도2동,37.5048670306107,126.940395302366
사람인 카페,"서울특별시 서대문구 연세로 22, 2~4층 (창천동)",신촌동,37.5575864999901,126.937087511305
잼팟(JAM POT),"서울특별시 서대문구 증가로 1, 104호 (연희동)",연희동,37.5686546996,126.931892138111
듀듀,"서울특별시 강동구 양재대로 1371, 둔촌빌딩 1층 12호 (성내동)",성내3동,37.5287025352002,127.136066310873
휘카페,"서울특별시 동대문구 서울시립대로 117, 1층 101호 (전농동)",전농1동,37.5810756218298,127.05139083827
Cafe Musto(카페 무스토),"서울특별시 서초구 효령로 83, 엠젠플러스빌딩 2층 (방배동)",방배2동,37.4803528581368,126.99332358058
에센스 커피 서초역점,"서울특별시 서초구 반포대로28길 20, 1층 (서초동)",서초3동,37.4904863731225,127.009778976083
헤네커피,"서울특별시 구로구 디지털로33길 11, 에이스테크노타워8차 102호 (구로동)",구로3동,37.4857057781612,126.895512679788
(주)학산테라로사커피한남지점,"서울특별시 용산구 이태원로36길 15, 지하1,2층 (한남동)",한남동,37.5345701200624,126.999607284803
엔피에스카페 365,"서울특별시 강남구 도산대로 128, 1층 (논현동, 국민연금서울남부지역본부)",논현1동,37.5169719062298,127.02270573272
마데린(베이커리카페),"서울특별시 강동구 올림픽로 654-15, 1,2,3층 (천호동)",천호2동,37.5395327572059,127.124621143494
이디야커피,"서울특별시 종로구 삼일대로 436-1, 1층 (낙원동)",종로1.2.3.4가동,37.5736024516612,126.988019050876
이디야커피 구의자양로점,"서울특별시 광진구 자양로 251, 1층 (구의동)",구의2동,37.5489991036635,127.089309502858
멍카페,"서울특별시 구로구 공원로 40, 1층 106-2호 (구로동, 신도림쌍용플래티넘노블)",구로5동,37.5011160902485,126.89135478391
더벤티 구로항동점,"서울특별시 구로구 서해안로 2108, 아이온타워2 1층 105호 (항동)",항동,37.4806382251407,126.823997084272
일지인센스,"서울특별시 종로구 윤보선길 38, 1층, 2층 (안국동)",삼청동,37.5777070645912,126.983837657257
컴포즈커피 용산아스테리움점,"서울특별시 용산구 한강대로30길 25, 제비동 제지1층 114호 (한강로2가, 아스테리움 용산)",한강로동,37.527358545339,126.968861735609
용용후토마끼,"서울특별시 용산구 한강대로54길 24, 지층 04호 (한강로2가)",한강로동,37.5324070488932,126.972931492596
창조 서적 부엌,"서울특별시 구로구 경인로35길 16-4, 1층 (개봉동)",개봉1동,37.4981243973616,126.855311482368
이에노(llENO),"서울특별시 금천구 가산디지털2로 101, 1층 120호 (가산동)",가산동,37.477043450667,126.879222554896
크리스 앤 벨라,"서울특별시 동작구 노량진로 10, 여성가족복합시설 스페이스살림 지하2층 먹거리매장 01호 (대방동)",대방동,37.5123933402032,126.927272487671
돈워리모리스(Don't Worry Moris),"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 1층 (신천동)",잠실6동,37.5137519612953,127.104446890835
하루한알,"서울특별시 서초구 방배로28길 7, 1층 104호 (방배동)",방배4동,37.4903601390981,126.992670246742
베니셀와플(Benizel Waffle),"서울특별시 구로구 구로동로33길 22, 1층 (구로동)",구로2동,37.4921314021324,126.882470958933
메가엠지씨커피 송파문정공원점,"서울특별시 송파구 송이로 239, 도은빌딩 1층 3호 (문정동)",장지동,37.4880493688611,127.131727143881
프렌즈 이터널 카페(Friends Eternal CAFE),"서울특별시 영등포구 가마산로 359, 베뢰아대학원대학교 도서관내  1층 (대림동)",대림3동,37.500916439781,126.898248758452
청과원 신길힐스테이트점,"서울특별시 영등포구 신길로28길 9, 상가동 지하2층 123호 (신길동, 힐스테이트 클래시안)",신길4동,37.5033192540847,126.910985829062
크림뷰티 디어마이베어,"서울특별시 송파구 백제고분로46길 8, 서암빌딩 3층 (송파동)",송파1동,37.5084136184002,127.112001808837
던킨도너츠 경복궁도반병원점,"서울특별시 종로구 새문안로5가길 33, 한누리빌딩 1층 (내자동)",사직동,37.5749585598862,126.972903532517
미닝아웃 H비지니스파크점,"서울특별시 송파구 법원로11길 25, 에이치비지니스파크 B동 109호 (문정동)",문정2동,37.4849480566201,127.116227694522
맘블리스,"서울특별시 송파구 백제고분로32길 25, 1층 103호 (삼전동)",삼전동,37.5001955606436,127.095025374064
벨뷰(bellevue),"서울특별시 강남구 언주로147길 37, 지상1층 (논현동)",논현2동,37.5191029873375,127.031259942534
카페뉴,"서울특별시 강남구 테헤란로 406, 지하1층 115호 (대치동, 샹제리제빌딩)",대치4동,37.5043809944112,127.049963989803
이디야커피 길동사거리점,"서울특별시 강동구 천호대로 1132, 1층 101~103호 (성내동)",성내3동,37.5340717110259,127.136981871571
샐러디 숙명여대점,"서울특별시 용산구 청파로47길 66, 중하빌딩 지하1층 101호 (청파동2가)",청파동,37.545067501628,126.966770459878
씨유 전농해성점,"서울특별시 동대문구 전농로20길 4, 1층 (전농동)",전농2동,37.5790147083062,127.05722353475
로컬스티치 회현 C(시즌드시즌),"서울특별시 중구 퇴계로4길 2, 6층 (남창동)",회현동,37.5573880083347,126.977379227931
신가네김밥,"서울특별시 은평구 갈현로 209, 1층 (갈현동)",갈현2동,37.616087268367,126.913635404844
오베르,"서울특별시 종로구 통일로12길 24-1, 1층 (무악동)",무악동,37.5737992467469,126.960714455955
호공간,"서울특별시 강동구 고덕로25길 12, 1층 (암사동)",암사3동,37.5552514053822,127.136584574636
아띠몽(을지로5가점),"서울특별시 중구 동호로33길 2, 1층 (을지로5가)",을지로동,37.5655722902371,127.00197118077
낙산공원 북카페,"서울특별시 종로구 낙산길 54, 낙산공원 전시관, 매점(관련지번 50-147) 1층 (동숭동)",이화동,37.580453816225,127.007275178101
극동차가,"서울특별시 송파구 올림픽로35길 124, 장미아파트 상가 2동 지하1층 11-1호 (신천동)",잠실6동,37.5173453447287,127.100709917003
에이오어비(a or b)(A or B),"서울특별시 송파구 송파대로32길 15, 1층 120호 (가락동, 가락금호아파트)",가락본동,37.4965824118518,127.11575708533
레이어 프로젝트(Layer project),"서울특별시 강남구 역삼로63길 19, 우희빌딩 지상1층 (대치동)",대치4동,37.502380089329,127.05194167433
커피라이프,"서울특별시 서대문구 연희로 26, 동방사회복지회본관 1층 102호 (창천동)",신촌동,37.5609976100793,126.927106202065
환대커피,"서울특별시 강남구 학동로43길 38, 지하2층 제비201호 주방38호 (논현동, 논현웰스톤)",논현2동,37.518458048048,127.038022514319
카페53,"서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차 지하1층 B140 일부호 (가산동)",가산동,37.4814401689835,126.883871693415
브론토커피,"서울특별시 송파구 백제고분로27길 25, 1층 102호 (삼전동)",삼전동,37.5054438875667,127.093367339465
카페홈즈 송파점,"서울특별시 송파구 가락로12길 4, 1층 106호 (석촌동, 파크팰리스)",석촌동,37.4997944818033,127.105074204186
초가집,"서울특별시 송파구 동남로13길 41, 1층 101호 (가락동)",가락2동,37.4942271306416,127.125512666764
멜렉,"서울특별시 강남구 도산대로19길 45, 지하1층 101호 (신사동)",신사동(강남구),37.5214359833848,127.02423287448
스몰배치(SMALL BATCH) 현대카드점,"서울특별시 영등포구 의사당대로 18, 아시아원빌딩 1층 (여의도동)",여의동,37.5271162710424,126.917539606352
대단한탕후루 상봉점,"서울특별시 중랑구 망우로 353, 비거주동 1층 C-109호 (상봉동, 상봉 프레미어스 엠코)",상봉1동,37.5983328190955,127.091624142481
명동빙수,"서울특별시 중구 명동길 49, 1층 (명동1가)",명동,37.5639537079879,126.985021953601
우사기의 비망록,"서울특별시 성북구 보문로15길 33, 1층 (보문동6가)",보문동,37.5803258583217,127.019930797468
컴포즈커피 마포광흥창점(COMPOSECOFFEE),"서울특별시 마포구 독막로 176, 1층 1-2호 (구수동)",신수동,37.5472535249257,126.933045939688
웨스트앤드 커피 (WESTEND COFFEE),"서울특별시 마포구 월드컵로36길 50, 1층 3호 (성산동)",성산2동,37.5682848870009,126.905639567246
에스지푸드(날개붕어빵),"서울특별시 은평구 갈현로 60, 1층 (역촌동)",역촌동,37.6031066463429,126.910515098877
(주)엘리스파이 시청역점,"서울특별시 중구 세종대로11길 26, 1층 (서소문동)",소공동,37.5623140006705,126.974582779311
샐러디 동대문점,"서울특별시 종로구 종로 272, 동대문종합시장 신관 5층 501호 (종로6가)",종로5.6가동,37.5708187075358,127.008091407146
오랑제뜨22,"서울특별시 마포구 동교로29길 32, 지상1층 (연남동)",연남동,37.5619310478169,126.923275288343
먼데이커피(Monday coffee),"서울특별시 강동구 양재대로112길 51, 1층 (길동)",길동,37.5363332226755,127.142687466554
모퉁이 별분식,"서울특별시 은평구 가좌로 275-1, 1층 (신사동)",신사2동,37.5930588782366,126.913157583414
국민우유집 가양점,"서울특별시 강서구 양천로 401, B동 1층 108-1호 (가양동, 1동 강서한강자이타워)",가양1동,37.5657034766638,126.847638315393
송이김밥,"서울특별시 노원구 중계로 184, 상가동 102호 (중계동, 청구라이프신동아)",중계본동,37.6511079247726,127.079599122393
