`STD_YM`,`ADMI_CD`,`ADMI_NM`,`SEXDSTN_CD`,`AGRDE_CD`,`RSPOP_CNT`,`CTY_NM`
`202306`,`11320690`,`방학1동`,`1`,`0004`,`474`,`도봉구`
`202306`,`11200550`,`사근동`,`1`,`0004`,`166`,`성동구`
`202306`,`11410690`,`남가좌1동`,`1`,`0004`,`722`,`서대문구`
`202306`,`11350600`,`공릉2동`,`1`,`0004`,`1340`,`노원구`
`202306`,`11650610`,`방배2동`,`1`,`0004`,`476`,`서초구`
`202306`,`11560515`,`영등포본동`,`1`,`0004`,`550`,`영등포구`
`202306`,`11410685`,`홍은2동`,`1`,`0004`,`666`,`서대문구`
`202306`,`11650620`,`방배3동`,`1`,`0004`,`458`,`서초구`
`202306`,`11560670`,`신길5동`,`1`,`0004`,`296`,`영등포구`
`202306`,`11110530`,`사직동`,`1`,`0004`,`182`,`종로구`
`202306`,`11350670`,`상계5동`,`1`,`0004`,`382`,`노원구`
`202306`,`11440690`,`망원1동`,`1`,`0004`,`390`,`마포구`
`202306`,`11410720`,`북가좌2동`,`1`,`0004`,`528`,`서대문구`
`202306`,`11140550`,`명동`,`1`,`0004`,`28`,`중구`
`202306`,`11320515`,`창5동`,`1`,`0004`,`550`,`도봉구`
`202306`,`11620525`,`보라매동`,`1`,`0004`,`346`,`관악구`
`202306`,`11650580`,`반포3동`,`1`,`0004`,`748`,`서초구`
`202306`,`11305603`,`번2동`,`1`,`0004`,`192`,`강북구`
`202306`,`11350595`,`공릉1동`,`1`,`0004`,`700`,`노원구`
`202306`,`11650520`,`서초2동`,`1`,`0004`,`928`,`서초구`
`202306`,`11710562`,`방이2동`,`1`,`0004`,`512`,`송파구`
`202306`,`11215710`,`화양동`,`1`,`0004`,`122`,`광진구`
`202306`,`11530530`,`구로2동`,`1`,`0004`,`310`,`구로구`
`202306`,`11500620`,`공항동`,`1`,`0004`,`1220`,`강서구`
`202306`,`11620685`,`신사동`,`1`,`0004`,`258`,`관악구`
`202306`,`11680670`,`개포2동`,`1`,`0004`,`1354`,`강남구`
`202306`,`11200570`,`행당2동`,`1`,`0004`,`742`,`성동구`
`202306`,`11305575`,`삼각산동`,`1`,`0004`,`870`,`강북구`
`202306`,`11200790`,`용답동`,`1`,`0004`,`130`,`성동구`
`202306`,`11740530`,`명일1동`,`1`,`0004`,`974`,`강동구`
`202306`,`11320521`,`도봉1동`,`1`,`0004`,`230`,`도봉구`
`202306`,`11215810`,`광장동`,`1`,`0004`,`724`,`광진구`
`202306`,`11530540`,`구로3동`,`1`,`0004`,`476`,`구로구`
`202306`,`11560535`,`영등포동`,`1`,`0004`,`624`,`영등포구`
`202306`,`11650600`,`방배1동`,`1`,`0004`,`432`,`서초구`
`202306`,`11230650`,`장안1동`,`1`,`0004`,`1034`,`동대문구`
`202306`,`11740550`,`고덕1동`,`1`,`0004`,`658`,`강동구`
`202306`,`11500640`,`방화2동`,`1`,`0004`,`518`,`강서구`
`202306`,`11680545`,`압구정동`,`1`,`0004`,`684`,`강남구`
`202306`,`11710532`,`거여2동`,`1`,`0004`,`872`,`송파구`
`202306`,`11260565`,`면목본동`,`1`,`0004`,`612`,`중랑구`
`202306`,`11260655`,`망우본동`,`1`,`0004`,`1178`,`중랑구`
`202306`,`11500510`,`염창동`,`1`,`0004`,`1522`,`강서구`
`202306`,`11620605`,`은천동`,`1`,`0004`,`756`,`관악구`
`202306`,`11320710`,`방학3동`,`1`,`0004`,`578`,`도봉구`
`202306`,`11470540`,`목4동`,`1`,`0004`,`316`,`양천구`
`202306`,`11215870`,`구의3동`,`1`,`0004`,`746`,`광진구`
`202306`,`11290610`,`보문동`,`1`,`0004`,`492`,`성북구`
`202306`,`11200660`,`성수1가2동`,`1`,`0004`,`284`,`성동구`
`202306`,`11710531`,`거여1동`,`1`,`0004`,`262`,`송파구`
`202306`,`11200690`,`성수2가3동`,`1`,`0004`,`226`,`성동구`
`202306`,`11740590`,`암사3동`,`1`,`0004`,`576`,`강동구`
`202306`,`11140635`,`약수동`,`1`,`0004`,`386`,`중구`
`202306`,`11230560`,`전농1동`,`1`,`0004`,`668`,`동대문구`
`202306`,`11710646`,`장지동`,`1`,`0004`,`904`,`송파구`
`202306`,`11740580`,`암사2동`,`1`,`0004`,`606`,`강동구`
`202306`,`11560585`,`도림동`,`1`,`0004`,`462`,`영등포구`
`202306`,`11530730`,`고척2동`,`1`,`0004`,`556`,`구로구`
`202306`,`11410660`,`홍은1동`,`1`,`0004`,`602`,`서대문구`
`202306`,`11470530`,`목3동`,`1`,`0004`,`564`,`양천구`
`202306`,`11470630`,`신정2동`,`1`,`0004`,`270`,`양천구`
`202306`,`11530510`,`신도림동`,`1`,`0004`,`1380`,`구로구`
`202306`,`11320511`,`창1동`,`1`,`0004`,`466`,`도봉구`
`202306`,`11410520`,`천연동`,`1`,`0004`,`508`,`서대문구`
`202306`,`11230710`,`회기동`,`1`,`0004`,`94`,`동대문구`
`202306`,`11305534`,`삼양동`,`1`,`0004`,`454`,`강북구`
`202306`,`11350580`,`월계3동`,`1`,`0004`,`868`,`노원구`
`202306`,`11620735`,`대학동`,`1`,`0004`,`252`,`관악구`
`202306`,`11740515`,`강일동`,`1`,`0004`,`1424`,`강동구`
`202306`,`11740685`,`길동`,`1`,`0004`,`988`,`강동구`
`202306`,`11290630`,`정릉2동`,`1`,`0004`,`538`,`성북구`
`202306`,`11290685`,`길음2동`,`1`,`0004`,`802`,`성북구`
`202306`,`11350695`,`상계6.7동`,`1`,`0004`,`930`,`노원구`
`202306`,`11680521`,`논현1동`,`1`,`0004`,`280`,`강남구`
`202306`,`11410655`,`홍제2동`,`1`,`0004`,`342`,`서대문구`
`202306`,`11530550`,`구로4동`,`1`,`0004`,`342`,`구로구`
`202306`,`11590520`,`노량진2동`,`1`,`0004`,`84`,`동작구`
`202306`,`11620565`,`성현동`,`1`,`0004`,`628`,`관악구`
`202306`,`11740570`,`암사1동`,`1`,`0004`,`794`,`강동구`
`202306`,`11110515`,`청운효자동`,`1`,`0004`,`216`,`종로구`
`202306`,`11380520`,`불광1동`,`1`,`0004`,`956`,`은평구`
`202306`,`11500603`,`가양1동`,`1`,`0004`,`722`,`강서구`
`202306`,`11560690`,`신길7동`,`1`,`0004`,`882`,`영등포구`
