행정동명,0,1,2,3,4,5
가락1동,0.3137505265935116,-0.1949824759935044,-0.0594315045606244,-0.17829949436711282,0.03452443000215843,-0.08317417757284212
가락2동,0.41613734973719324,-0.0510236014376923,0.035966626560561446,-0.0029842450294164146,-0.07842471154025579,0.07380771685872413
가락본동,0.15699658963373225,0.11242938461840922,0.04275790027314608,0.028742875743587547,-0.02731419130101325,0.15188541963479987
가리봉동,-0.6126048337800128,0.10740779475405791,-0.15647583209662927,0.05150575892655019,-0.025350944733645082,-0.021620438411319342
가산동,-0.11735976735352095,0.7954703372712937,0.18108366589297015,-0.2242428106960719,0.009891849116015603,-0.060994532909439146
가양1동,0.25088305254268417,0.6794891700406417,0.1922426711139531,-0.05784189398249403,-0.15860827761048835,0.19065076161189315
가양2동,-0.31611438053319374,-0.023622628861286556,-0.22269484914192167,0.36435163622215794,0.03243833563084905,0.062162147944061025
가양3동,-0.2652073907729841,-0.07883454157856924,-0.18890310571401683,0.26690922941668477,-0.05503180414906193,-0.04331915376395738
가회동,-0.5048860733258003,-0.2622780940152062,0.2972434573025575,0.011905347795411504,-0.14576605436056647,0.04213977178339623
갈현1동,-0.15427677793730216,-0.014324046793753495,-0.11533042199254578,-0.02754216455507875,0.10804213121174674,0.09479833543229524
갈현2동,0.1997295674585677,-0.017416670135599152,-0.06687716478703327,0.035208899295398687,-0.03355563560885715,-0.06752714872339674
강일동,0.056952124288432604,-0.3137284801706067,0.1890249688664268,0.2056801071172528,-0.07498608374982418,0.004384737179158595
개봉1동,-0.06905864552971848,-0.07277101359596774,-0.013770376121901157,0.015315105749439697,0.12799632581199286,-0.0891527403194343
개봉2동,-0.08235010125956427,-0.22806340606256864,-0.05934020149159325,0.022434741757166084,0.12956223120370863,-0.09304182014163109
개봉3동,-0.21771519063144512,-0.3065351193636777,0.038942201724749215,0.20810973463888507,-0.05259815775609628,0.010084379795767276
개포1동,-0.406953987811243,-0.5597473431023309,0.2683195414094763,-0.06767592801274906,-0.16193016141628336,0.05580034394100872
개포2동,0.25358201170000644,-0.332082200130166,0.23515561466690527,0.04649774262017421,-0.0997761071072224,0.1667653741786604
개포3동,-0.32933837224169893,-0.4120750498495425,0.3242270870275521,-0.08966966315256532,-0.19449702516025463,0.2354085099589891
개포4동,-0.18087649476642437,-0.2519475053011867,0.07996836930994633,-0.036259440133204285,-0.09869142895915374,-0.10840392777743707
거여1동,-0.14804081781166928,-0.16369805274130178,-0.0776313066817523,0.07413013446901758,0.04177009924212859,0.16152572494117073
거여2동,0.13878899248942278,-0.11857203133201309,-0.07547215887907877,0.01285399406910315,-0.021928550776992944,0.07935091916387203
고덕1동,0.0607180396234132,-0.5544961723696261,0.20162406607208705,-0.07092053436097381,-0.06931200718575191,-0.0024936857039787683
고덕2동,-0.06416647126988854,-0.34392907228323033,0.16899697600516667,0.044386454428899345,-0.09085655521998744,0.07551114117350156
고척1동,-0.17087255260107487,-0.17660948585914057,0.08548057071273397,0.051408965562968,-0.06443310474986426,-0.16671900370880835
고척2동,-0.10588809647779233,-0.21383388275883292,-0.009559904109109021,0.11059250655023967,0.05876235784682425,0.07321339035764843
공덕동,0.3086666382001864,0.3063447681923866,-0.061685562802493286,-0.019416056582068252,-0.04998531111062584,-0.08466953052729352
공릉1동,0.3457381604092585,0.2521820342034947,-0.047009223205786384,0.1415448796153411,-0.13478218374450932,-0.00013823873580020562
공릉2동,0.5874599239159205,0.1354972612552125,0.11094962106071944,0.12721414081464777,-0.2148927020119602,-0.048784264843662585
공항동,0.2346977815888247,0.12769985524785818,0.07404897165176348,0.05683581610227197,-0.03408571954460173,0.019891781415101603
광장동,0.5164027993788347,-0.2638113841186663,0.08791087158253505,-0.19537105076991104,-0.08834607630301648,-0.21265934879058582
광희동,-0.5577560560412064,0.354155830483164,0.1224251255520609,-0.0896601410925785,0.21615206537343523,0.13762793061000267
교남동,-0.22070741273186983,-0.1747440938042002,-0.026678355705553197,-0.21411458516222806,0.18542496675209558,0.05743174297815722
구로1동,-0.22050345614443712,-0.3680552356314971,0.09983593555496302,-0.05253251919320393,-0.14864932285461113,-0.10341701423799039
구로2동,-0.2693839244841464,0.023197892899872268,0.012462344375880096,0.1412038794037395,0.2193427042998164,-0.023004556059365334
구로3동,-0.3662667067615891,0.14715989010461497,0.21634122697939617,0.06318351263004367,-0.1762376949829865,-0.11369657860670529
구로4동,-0.36206206003395275,-0.047022207117133015,-0.052520974761738226,0.17478296718278552,0.01714636638486111,-0.07028649147121961
구로5동,-0.25379594317788245,0.12350369353796553,0.06282504700974756,-0.05877716746033189,-0.02885045487453342,-0.014960554071160951
구산동,0.33826714551122633,-0.006205485591168297,-0.08320240453632356,0.13732415127783507,-0.047780913696310316,0.035859781849763434
구의1동,-0.04773172126841737,0.24249000092181514,-0.12458588342933781,-0.14830709437618034,-0.10500205833658911,0.03352626247943363
구의2동,0.13865832984525223,-0.05025446360065936,-0.06820151562983176,-0.041263187702729014,-0.02782885867708006,-0.09350400401112309
구의3동,0.17699170255434604,0.015014978841625826,-0.06432473916294695,-0.18396916027272714,0.0012873486063949226,-0.11641809065913447
군자동,-0.19573754952465586,0.21117149418082976,-0.04571942776943878,-0.023534935300308726,-0.14875126178489986,-0.10249118189365056
금호1가동,-0.1102647282339653,-0.19129918223190676,-0.12356851173174037,-0.07604889359337128,0.06684219879171506,-0.028699489514166864
금호2.3가동,0.06519176813886611,-0.05346006687801591,-0.11665062915776445,-0.004960685814652277,0.008795754095058412,0.05116414565925797
