행정동명,0,1,2,3,4,5,cluster
가락1동,0.3137505265935116,-0.1949824759935044,-0.0594315045606244,-0.1782994943671128,0.0345244300021584,-0.0831741775728421,3
가락2동,0.4161373497371932,-0.0510236014376923,0.0359666265605614,-0.0029842450294164,-0.0784247115402557,0.0738077168587241,2
가락본동,0.1569965896337322,0.1124293846184092,0.042757900273146,0.0287428757435875,-0.0273141913010132,0.1518854196347998,2
가리봉동,-0.6126048337800128,0.1074077947540579,-0.1564758320966292,0.0515057589265501,-0.025350944733645,-0.0216204384113193,1
가산동,-0.1173597673535209,0.7954703372712937,0.1810836658929701,-0.2242428106960719,0.0098918491160156,-0.0609945329094391,1
가양1동,0.2508830525426841,0.6794891700406417,0.1922426711139531,-0.057841893982494,-0.1586082776104883,0.1906507616118931,2
가양2동,-0.3161143805331937,-0.0236226288612865,-0.2226948491419216,0.3643516362221579,0.032438335630849,0.062162147944061,0
가양3동,-0.2652073907729841,-0.0788345415785692,-0.1889031057140168,0.2669092294166847,-0.0550318041490619,-0.0433191537639573,0
가회동,-0.5048860733258003,-0.2622780940152062,0.2972434573025575,0.0119053477954115,-0.1457660543605664,0.0421397717833962,0
갈현1동,-0.1542767779373021,-0.0143240467937534,-0.1153304219925457,-0.0275421645550787,0.1080421312117467,0.0947983354322952,0
갈현2동,0.1997295674585677,-0.0174166701355991,-0.0668771647870332,0.0352088992953986,-0.0335556356088571,-0.0675271487233967,2
강일동,0.0569521242884326,-0.3137284801706067,0.1890249688664268,0.2056801071172528,-0.0749860837498241,0.0043847371791585,3
개봉1동,-0.0690586455297184,-0.0727710135959677,-0.0137703761219011,0.0153151057494396,0.1279963258119928,-0.0891527403194343,0
개봉2동,-0.0823501012595642,-0.2280634060625686,-0.0593402014915932,0.022434741757166,0.1295622312037086,-0.093041820141631,0
개봉3동,-0.2177151906314451,-0.3065351193636777,0.0389422017247492,0.208109734638885,-0.0525981577560962,0.0100843797957672,0
개포1동,-0.406953987811243,-0.5597473431023309,0.2683195414094763,-0.067675928012749,-0.1619301614162833,0.0558003439410087,3
