행정동명,0,1,2,3,4,5,cluster,distance,subway
송파2동,0.0798149395603372,-0.2446298106816939,0.0278258891905953,0.0153106866828893,-0.039013070829973,-0.0104448993104297,0,0.14329363079080912,
남가좌1동,0.0885927070992659,-0.3122893587489479,0.0171615965509161,-0.1671204758868663,0.0473283934867024,0.0410549024470046,0,0.15883025170898282,경의중앙선_가좌
하계2동,0.1645866209104986,-0.3060625253373719,-0.0045962461931105,-0.0993064111959229,-0.0037152501018166,-0.0359863118385224,0,0.16316684568682085,7호선_하계
방이1동,-0.0569802503999569,-0.2503378630274074,0.1194080778541924,-0.0807205311024249,-0.0873992360919166,0.0550041373291758,0,0.1681042341007001,5호선_방이
방배3동,0.1003240016130728,-0.3006553594484318,0.0572663855038454,0.0617696001796928,0.054492421343922,0.0534012303005915,0,0.1737303367901278,2호선_방배
면목4동,-0.0758293477232598,-0.0784241059672606,-0.1636496647584753,0.0524716208945744,0.0422590185816586,0.0001712037382614,1,0.08965780609290575,7호선_용마산
암사1동,-0.06535064820351,-0.0646848846244219,-0.0989955312720188,-0.0187835892929744,0.0668461322471701,0.0513452155361648,1,0.09397816327279833,8호선_암사
홍제3동,-0.044946996309509,-0.102270421893875,-0.0781391927417557,0.1049107494110121,0.0526483242234019,-0.0210087415440957,1,0.11002357427860791,3호선_홍제
화곡2동,-0.077616218056097,-0.105319219381277,-0.0918170565203266,-0.0465304004900084,-0.0331728277707489,0.0182722787401646,1,0.11285615108008781,
왕십리2동,-0.0951863517358023,-0.0995789249374824,-0.0800630865255138,-0.0306299505150191,-0.0467325327352347,0.044464102061817,1,0.11308978124237315,2호선_상왕십리
응암1동,0.3409230607011972,0.1462964011049741,-0.0363824727871044,-0.0439967932984518,0.0109358555995604,-0.0631935069696127,2,0.12132767265784174,
공항동,0.2346977815888247,0.1276998552478581,0.0740489716517634,0.0568358161022719,-0.0340857195446017,0.0198917814151016,2,0.12338841631632147,"5호선_마곡,5호선_송정"
은천동,0.2922532559559301,0.1735901555957998,-0.0854769451142281,0.0544547140298277,-0.0643823867231172,-0.0505640881979543,2,0.13397094267232748,2호선_봉천
장안2동,0.3352947740607505,0.0686954926814674,-0.0138892162463829,-0.0432329600591525,0.007422411027916,-0.0852429580817464,2,0.13874073431887127,
홍은2동,0.2419834836498989,0.0940712769024992,-0.0576637277670036,-0.0087082688280415,0.0752666324194684,-0.0320894225115072,2,0.15635710999731367,
연남동,-0.2793813191003562,0.2417512392984943,0.0547409771452784,-0.1417795383199264,-0.0309405854112303,0.0373205630054837,3,0.11085460983941875,
청파동,-0.1922231118493484,0.2455932729173808,0.0347872554645709,-0.0194794830872296,-0.0865035060872787,-0.0160926011062757,3,0.11425958336484825,
대흥동,-0.2937140825183316,0.2415501421755134,0.0940229646588223,-0.0453935427187839,-0.137475922684436,-0.0932180364178187,3,0.14627900317272274,"2호선_이대,6호선_대흥"
합정동,-0.2155359458461144,0.204466004438074,0.0446903399624574,-0.1401267028248013,-0.0392139786559188,0.0762685644965648,3,0.15735170237128965,6호선_합정
혜화동,-0.2196284731203067,0.2227789311007786,0.1970465760484825,-0.0577205841213271,-0.0748084054450582,-0.0470433309185105,3,0.15755368867781042,
