행정동명,미세먼지지수,공원수,도시농업(프로그램수),거주_유동_인구당_매출액,채소가게수,제로웨이스트 가게수,승하차인원_버스_지하철,카페수,유치원_초등학교,인구수,총_10대,총_20_30대,총_60대이상,1인세대
가락1동,0.014203808984090037,0.07692307692307693,0.0,0.025988804134884257,0.11627906976744186,0.0,0.08568185345446319,0.10591133004926108,0.12529962954893636,0.6397745975953357,0.4262065040721685,0.4084144146197582,0.45790438793533156,0.11228405748170549
가락2동,0.014203808984090037,0.34615384615384615,0.0,0.035015790073920965,0.03488372093023256,0.0,0.0885040502868015,0.18226600985221675,0.22025728604720618,0.7455854046363712,0.4669914350929439,0.41531002063900363,0.4897017541746116,0.26922646502752684
가락본동,0.014203808984090037,0.34615384615384615,0.0,0.1406185758902328,0.10465116279069767,0.06451612903225806,0.13277302556132742,0.2438423645320197,0.180952755595789,0.5808296370686528,0.28575094603265183,0.47858463738104395,0.547826927932828,0.43312611069793316
가리봉동,0.011834497892940894,0.0,0.0,0.006240259813979962,0.05813953488372093,0.0,0.11017002570593323,0.027093596059113302,0.25,0.0,0.11445320786955408,0.5039432864458094,0.6250243724592546,0.8368346073558349
가산동,0.01660627837295247,0.11538461538461539,0.0,0.13912742414827228,0.08139534883720931,0.0,0.48580241126209084,0.5886699507389163,0.04666071573481043,0.5592099757301867,0.11464607733675128,0.8211518479060302,0.3844951609377973,0.8996334921986825
가양1동,0.05676700568514086,0.46153846153846156,0.0,0.07689341463536586,0.023255813953488372,0.22580645161290322,0.22803117340990553,0.5369458128078818,0.13498048651663933,0.8223561246408346,0.22699816318939625,0.7400691294838898,0.349174515843141,0.7683177561949652
가양2동,0.010526252328616814,0.19230769230769232,0.0,0.11448606360257911,0.0,0.0,0.03556720170814946,0.029556650246305417,0.3377882214714405,0.2515691689681145,0.12851849617412542,0.39590382001263186,0.973009864178762,0.6432654864096701
가양3동,0.010526252328616814,0.11538461538461539,0.0,0.017205044729215063,0.0,0.0,0.023780504276994803,0.022167487684729065,0.3989453965168579,0.2737467570507992,0.1290672969054346,0.4485626882714222,0.798972557193836,0.5193246253890027
가회동,0.1071435030837217,0.038461538461538464,0.0,0.5936043872069736,0.023255813953488372,0.03225806451612903,0.061755683988111605,0.17980295566502463,0.5,0.0,0.2995264801692581,0.30479382363812296,0.5583202901724903,0.5195181900051647
갈현1동,0.004928528796474367,0.15384615384615385,0.0,0.07448319676142222,0.03488372093023256,0.0,0.11073785509862591,0.09852216748768473,0.07751937984497055,0.28551901135380925,0.2920510603578871,0.43114079646624254,0.6577774404231189,0.521324156869097
갈현2동,0.004928528796474367,0.15384615384615385,0.0,0.03678955436868437,0.011627906976744186,0.0,0.11813023103558415,0.13054187192118227,0.24901656501490987,0.6446564566072475,0.3581699920783834,0.41115406036239416,0.5979602312402523,0.38675663203922495
강일동,0.061116771466983376,0.3076923076923077,0.18181818181818182,0.02494364045130964,0.03488372093023256,0.0,0.1266180091965055,0.04926108374384237,0.4906890981682889,0.3293302089435657,0.49109830146431005,0.34524394075617687,0.566223240185035,0.2509411926551221
개봉1동,0.01660627837295247,0.07692307692307693,0.0,0.0202776770091962,0.046511627906976744,0.0,0.26492260411220775,0.10837438423645321,0.2071263470717386,0.3363321895835077,0.29145538174349933,0.40908517693294877,0.6300741483811703,0.36986946357111433
개봉2동,0.01660627837295247,0.038461538461538464,0.0,0.018624437876394444,0.0,0.0,0.1534617199827744,0.0812807881773399,0.22878742663884175,0.2923396658018802,0.30748175540352374,0.36765542958988334,0.6727572526021597,0.2649924148339776
개봉3동,0.01660627837295247,0.19230769230769232,0.0,0.06722918414966193,0.03488372093023256,0.0,0.053459654185543555,0.07142857142857142,0.4636629372039556,0.1484364102993277,0.29451818430561566,0.3609237046441018,0.6789338994957692,0.32316528687146306
개포1동,0.014203808984090037,0.0,0.0,0.7661864302997508,0.046511627906976744,0.0,0.04280172954900468,0.0024630541871921183,0.5,0.0,0.34092444897313967,0.22047518782004158,0.5319709907638395,0.2364686076929281
개포2동,0.0641221189960873,0.46153846153846156,0.0,0.043671969786252055,0.023255813953488372,0.0,0.14620971231919638,0.06403940886699508,0.35595449972920273,0.41243339749490887,0.561916814099576,0.36997881199587845,0.4168836133891239,0.11861333811494727
개포3동,0.1140374146173834,0.15384615384615385,0.0,1.0,0.0,0.0,0.024656084487928595,0.03694581280788178,0.4042416075925685,0.1097581387563813,0.4338504220249977,0.35858800510621697,0.6158431388795432,0.34102463100053565
개포4동,0.014203808984090037,0.038461538461538464,0.0,0.040788042379103426,0.011627906976744186,0.0,0.08682492792221586,0.09113300492610837,0.3932464201752472,0.19799425335453452,0.41949383107436683,0.42468221353134367,0.48563206383179003,0.36632263006229826
거여1동,0.017347818485449536,0.2692307692307693,0.0,0.019533946191589525,0.046511627906976744,0.0,0.039857703649204324,0.04926108374384237,0.18994136592619343,0.20947359611682986,0.31394245659776526,0.41170783574393516,0.6503456543922658,0.4120289586707655
거여2동,0.017347818485449536,0.23076923076923078,0.0,0.10882819553991491,0.046511627906976744,0.0,0.04464717507525593,0.07389162561576355,0.19394552660429007,0.5333221747984489,0.333080513067724,0.3845613059756832,0.5826466560372726,0.322874851423711
고덕1동,0.008889438177861107,0.19230769230769232,0.0,0.002926376210516405,0.023255813953488372,0.0,0.04309041146972998,0.054187192118226604,0.38532417490367626,0.20470332245376183,0.7048792285460238,0.28117675875801507,0.4233605783901407,0.11706856486907115
고덕2동,0.008889438177861107,0.2692307692307693,0.0,0.03398535839989908,0.046511627906976744,0.06451612903225806,0.07138335846719965,0.09605911330049262,0.4048048576582386,0.18867687672608585,0.45023064893175246,0.3657323403639454,0.4628295718823088,0.23857789021309883
고척1동,0.01660627837295247,0.038461538461538464,0.0,0.027435509656975512,0.0,0.0,0.18429665695741967,0.12315270935960591,0.4386466796353026,0.23735598515914857,0.3175064788169809,0.47933430294043783,0.5578181654085205,0.3352474058489689
고척2동,0.01660627837295247,0.23076923076923078,0.0,0.031223531869798548,0.03488372093023256,0.0,0.11536894873697687,0.06157635467980296,0.2654765110998519,0.23420369905431415,0.35459510019450247,0.3574656750582914,0.667901481106748,0.36221935477540257
공덕동,0.17116313279596795,0.15384615384615385,0.0,0.10679991333768032,0.05813953488372093,0.0,0.19932347789146723,0.16995073891625617,0.15643278831244906,0.8970625156916896,0.2578238246894033,0.5085189980493381,0.5296864376673746,0.5380028645137315
공릉1동,0.011530044432118934,0.3076923076923077,0.0,0.07964995567748263,0.08139534883720931,0.06451612903225806,0.14484628614681672,0.19950738916256158,0.28559602648995425,0.8826401093536418,0.30777812049050957,0.4801261199648687,0.6036459271004908,0.5555024115449056
공릉2동,0.011530044432118934,0.38461538461538464,0.0,0.016265732675920446,0.03488372093023256,0.03225806451612903,0.18589367712436786,0.2413793103448276,0.3980517714538278,1.0,0.47236818822556426,0.45976763462294457,0.479936492018902,0.3720803901711655
공항동,0.26241476810292336,0.2692307692307693,0.18181818181818182,0.04444943285126415,0.05813953488372093,0.06451612903225806,0.11483819775612045,0.13054187192118227,0.2299233588804008,0.7088459285295841,0.33261109870958494,0.4435727844057325,0.474463467421233,0.45224909319697737
광장동,0.00869048839158141,0.038461538461538464,0.09090909090909091,0.054771699538761605,0.011627906976744186,0.0,0.07378180202140908,0.1354679802955665,0.27028615077259244,0.8212123748151867,0.7089408775375855,0.31606510166564317,0.3823217008884198,0.14749801397933066
광희동,0.35607188718944244,0.11538461538461539,0.09090909090909091,0.1589158988137444,0.06976744186046512,0.03225806451612903,0.2062343641661515,0.33251231527093594,0.0,0.030155940525009056,0.1513653286606309,0.6247979167945568,0.60512760966036,0.8298985336615546
교남동,0.17857250513953613,0.038461538461538464,0.0,0.048956363944383276,0.011627906976744186,0.0,0.09670897313457186,0.059113300492610835,0.0,0.14363824029904876,0.36800911621124927,0.3945894000767583,0.5089684017191268,0.3793835698125084
구로1동,0.011834497892940894,0.0,0.0,0.20670709334468382,0.011627906976744186,0.0,0.04435054778056572,0.04187192118226601,0.4462120477252735,0.15926018913716627,0.41025712357269556,0.4357985749165556,0.5050526123071557,0.27205001782443705
구로2동,0.011834497892940894,0.11538461538461539,0.18181818181818182,0.06767518173912185,0.09302325581395349,0.06451612903225806,0.31147402048105527,0.09605911330049262,0.20172784282772233,0.18973693754010096,0.2374876751276709,0.37357082811048337,0.7363336736733455,0.567966316696334
구로3동,0.011834497892940894,0.07692307692307693,0.0,0.19015701146926853,0.011627906976744186,0.03225806451612903,0.24755878384927943,0.29064039408866993,0.49273747804109913,0.19721315591262867,0.2507921030296519,0.585817631648514,0.5243292810942551,0.6944517953597625
구로4동,0.011834497892940894,0.07692307692307693,0.0,0.02865784862239221,0.23255813953488372,0.0,0.14845825315126773,0.08866995073891626,0.3643083421328737,0.1358551622172009,0.21828884861125974,0.42566465858590197,0.7096034753500211,0.5855972840507491
구로5동,0.011834497892940894,0.07692307692307693,0.0,0.2304081267850119,0.011627906976744186,0.03225806451612903,0.23860328800762332,0.18226600985221675,0.23542256644713824,0.2804837224872374,0.21893315880864503,0.5477121881849358,0.5481953138385145,0.5960892526595039
구산동,0.004928528796474367,0.3076923076923077,0.0,0.02391469432137893,0.03488372093023256,0.06451612903225806,0.09288195134147045,0.09852216748768473,0.2544247787609805,0.7543169581833904,0.3616588373046736,0.3844607429140753,0.6376379805439575,0.36244948435261
구의1동,0.00869048839158141,0.11538461538461539,0.0,0.10263881098762023,0.03488372093023256,0.0,0.07924239270169728,0.15270935960591134,0.0982989999145344,0.5243953468909532,0.23234405221279394,0.6091015586669117,0.46839524976568003,0.6450369574075399
구의2동,0.00869048839158141,0.07692307692307693,0.0,0.07757164556157162,0.023255813953488372,0.0,0.11021610887492975,0.10837438423645321,0.22254044430686157,0.5924624096856084,0.3731837741761693,0.40714587559659204,0.5643656708499069,0.3896997665411581
구의3동,0.00869048839158141,0.0,0.0,0.1398479535039318,0.023255813953488372,0.03225806451612903,0.11976485930596628,0.16995073891625617,0.1230341285974257,0.6539180405612743,0.36780238180433483,0.4655622699586029,0.5088251549406609,0.3659012505603148
군자동,0.00869048839158141,0.038461538461538464,0.0,0.07316496137656502,0.023255813953488372,0.06451612903225806,0.141111960383306,0.15270935960591134,0.29808190772422577,0.4097971936284766,0.22659495655940778,0.6102742680991107,0.5208374614394972,0.6959233369928964
금호1가동,0.0014981521785001617,0.038461538461538464,0.0,0.009373292194615787,0.011627906976744186,0.0,0.05941815496763319,0.04433497536945813,0.15398004954142572,0.2883644377493235,0.31853769959735917,0.3907924364648407,0.5804482684668008,0.34978870286424585
금호2.3가동,0.03870779099420634,0.19230769230769232,0.0,0.02269591616909343,0.011627906976744186,0.0,0.07918200785956392,0.05665024630541872,0.15644130050335164,0.4868747733422601,0.2635270173625681,0.42976403464456897,0.5636431030521827,0.3636031212184294
금호4가동,0.0014981521785001617,0.07692307692307693,0.0,0.021646947943793158,0.03488372093023256,0.0,0.08661940758232334,0.04433497536945813,0.32219653988914865,0.2699528551901135,0.291634719993006,0.39102406600482514,0.5516240721347577,0.3674026889924265
길동,0.01651584665191625,0.19230769230769232,0.0,0.15069962045673954,0.1744186046511628,0.0,0.14068238049760287,0.16995073891625617,0.4106409569718993,0.4966663877032946,0.2625601726865482,0.45693578038565524,0.6175779133218089,0.49517903861816703
길음1동,0.006028781402415133,0.3076923076923077,0.0,0.004405348569872971,0.023255813953488372,0.03225806451612903,0.28253537942603674,0.0812807881773399,0.3303648376903297,0.8427483471420203,0.6369139446674764,0.3073425618688882,0.4153537355202253,0.16325240302578037
길음2동,0.04777507822343869,0.0,0.0,0.011746599088464826,0.011627906976744186,0.0,0.19434172841546465,0.11822660098522167,0.10518132345544776,0.48168605462102826,0.42049475739912545,0.3730544183050857,0.4689970057321877,0.2747171080934952
낙성대동,0.01614809098636892,0.19230769230769232,0.9090909090909092,0.012606301163270758,0.0,0.03225806451612903,0.33219873393114324,0.12807881773399016,0.06567300553938313,0.3601696097302424,0.2186454734467192,0.8390856038349925,0.3469039404885982,0.8654911552872251
난곡동,0.007225494510794531,0.15384615384615385,0.0,0.036941812950938506,0.05813953488372093,0.0,0.11473067036179524,0.024630541871921183,0.13374685016477666,0.5912628671855384,0.27966179915330047,0.42011611499290163,0.6833343028464781,0.5001538566516349
난향동,0.007225494510794531,0.038461538461538464,0.0,0.08317390789006877,0.023255813953488372,0.0,0.0631185804688936,0.022167487684729065,0.15477792732168746,0.28621641978408235,0.4100565332087711,0.3273254820806209,0.5965555763392317,0.3117830239927989
